geo,name,four_regions,eight_regions,six_regions,Latitude,Longitude,,,,,
afg,Afghanistan,asia,asia_west,south_asia,33,66,,,,,
alb,Albania,europe,europe_east,europe_central_asia,41,20,,,,,
dza,Algeria,africa,africa_north,middle_east_north_africa,28,3,,,,,
and,Andorra,europe,europe_west,europe_central_asia,42.50779,1.52109,,,,,
ago,Angola,africa,africa_sub_saharan,sub_saharan_africa,-12.5,18.5,,,,,
atg,Antigua and Barbuda,americas,america_north,america,17.05,-61.8,,,,,
arg,Argentina,americas,america_south,america,-34,-64,,,,,
arm,Armenia,europe,europe_east,europe_central_asia,40.25,45,,,,,
aus,Australia,asia,east_asia_pacific,east_asia_pacific,-25,135,,,,,
aut,Austria,europe,europe_west,europe_central_asia,47.33333,13.33333,,,,,
aze,Azerbaijan,europe,europe_east,europe_central_asia,40.5,47.5,,,,,
bhs,Bahamas,americas,america_north,america,25.04082,-77.37122,,,,,
bhr,Bahrain,asia,asia_west,middle_east_north_africa,26.03333,50.55,,,,,
bgd,Bangladesh,asia,asia_west,south_asia,24,90,,,,,
brb,Barbados,americas,america_north,america,13.16667,-59.53333,,,,,
blr,Belarus,europe,europe_east,europe_central_asia,53,28,,,,,
bel,Belgium,europe,europe_west,europe_central_asia,50.75,4.5,,,,,
blz,Belize,americas,america_north,america,17.49952,-88.19756,,,,,
ben,Benin,africa,africa_sub_saharan,sub_saharan_africa,9.5,2.25,,,,,
btn,Bhutan,asia,asia_west,south_asia,27.5,90.5,,,,,
bol,Bolivia,americas,america_south,america,-17,-65,,,,,
bih,Bosnia and Herzegovina,europe,europe_east,europe_central_asia,44.25,17.83333,,,,,
bwa,Botswana,africa,africa_sub_saharan,sub_saharan_africa,-22,24,,,,,
bra,Brazil,americas,america_south,america,-10,-55,,,,,
brn,Brunei,asia,east_asia_pacific,east_asia_pacific,4.5,114.66667,,,,,
bgr,Bulgaria,europe,europe_east,europe_central_asia,42.66667,25.25,,,,,
bfa,Burkina Faso,africa,africa_sub_saharan,sub_saharan_africa,12.5,-1.66667,,,,,
bdi,Burundi,africa,africa_sub_saharan,sub_saharan_africa,-3.5,30,,,,,
khm,Cambodia,asia,east_asia_pacific,east_asia_pacific,13,105,,,,,
cmr,Cameroon,africa,africa_sub_saharan,sub_saharan_africa,6,12.5,,,,,
can,Canada,americas,america_north,america,60.10867,-113.64258,,,,,
cpv,Cape Verde,africa,africa_sub_saharan,sub_saharan_africa,16,-24,,,,,
caf,Central African Republic,africa,africa_sub_saharan,sub_saharan_africa,7,21,,,,,
tcd,Chad,africa,africa_sub_saharan,sub_saharan_africa,15,19,,,,,
chl,Chile,americas,america_south,america,-33.45694,-70.64827,,,,,
chn,China,asia,east_asia_pacific,east_asia_pacific,35,105,,,,,
col,Colombia,americas,america_south,america,4,-73.25,,,,,
com,Comoros,africa,africa_sub_saharan,sub_saharan_africa,-12.23333,44.44553,,,,,
cod,"Congo, Dem. Rep.",africa,africa_sub_saharan,sub_saharan_africa,-2.5,23.5,,,,,
cog,"Congo, Rep.",africa,africa_sub_saharan,sub_saharan_africa,-1,15.5,,,,,
cri,Costa Rica,americas,america_north,america,10,-84,,,,,
civ,Cote d'Ivoire,africa,africa_sub_saharan,sub_saharan_africa,8,-5.5,,,,,
hrv,Croatia,europe,europe_east,europe_central_asia,45.16667,15.5,,,,,
cub,Cuba,americas,america_north,america,22,-79.5,,,,,
cyp,Cyprus,europe,europe_west,europe_central_asia,35,33,,,,,
cze,Czech Republic,europe,europe_east,europe_central_asia,49.75,15,,,,,
dnk,Denmark,europe,europe_west,europe_central_asia,56,10,,,,,
dji,Djibouti,africa,africa_north,middle_east_north_africa,11.58901,43.14503,,,,,
dma,Dominica,americas,america_north,america,15.5,-61.33333,,,,,
dom,Dominican Republic,americas,america_north,america,19,-70.66667,,,,,
ecu,Ecuador,americas,america_south,america,-1.25,-78.25,,,,,
egy,Egypt,africa,africa_north,middle_east_north_africa,27,30,,,,,
slv,El Salvador,americas,america_north,america,13.83333,-88.91667,,,,,
gnq,Equatorial Guinea,africa,africa_sub_saharan,sub_saharan_africa,1.7,10.5,,,,,
eri,Eritrea,africa,africa_sub_saharan,sub_saharan_africa,15,39,,,,,
est,Estonia,europe,europe_east,europe_central_asia,59,26,,,,,
eth,Ethiopia,africa,africa_sub_saharan,sub_saharan_africa,9,39.5,,,,,
fji,Fiji,asia,east_asia_pacific,east_asia_pacific,-18,178,,,,,
fin,Finland,europe,europe_east,europe_central_asia,64,26,,,,,
fra,France,europe,europe_west,europe_central_asia,46,2,,,,,
gab,Gabon,africa,africa_sub_saharan,sub_saharan_africa,-1,11.75,,,,,
gmb,Gambia,africa,africa_sub_saharan,sub_saharan_africa,13.5,-15.5,,,,,
geo,Georgia,europe,europe_east,europe_central_asia,41.99998,43.4999,,,,,
deu,Germany,europe,europe_west,europe_central_asia,51.5,10.5,,,,,
gha,Ghana,africa,africa_sub_saharan,sub_saharan_africa,8.1,-1.2,,,,,
grc,Greece,europe,europe_west,europe_central_asia,39,22,,,,,
grd,Grenada,americas,america_north,america,12.11667,-61.66667,,,,,
gtm,Guatemala,americas,america_north,america,14.64072,-90.51327,,,,,
gin,Guinea,africa,africa_sub_saharan,sub_saharan_africa,10.83333,-10.66667,,,,,
gnb,Guinea-Bissau,africa,africa_sub_saharan,sub_saharan_africa,12,-15,,,,,
guy,Guyana,americas,america_south,america,5,-59,,,,,
hti,Haiti,americas,america_north,america,19,-72.41667,,,,,
hos,Holy See,europe,europe_west,europe_central_asia,41.90236,12.45332,,,,,
hnd,Honduras,americas,america_north,america,15,-86.5,,,,,
hkg,"Hong Kong, China",asia,east_asia_pacific,east_asia_pacific,22.28552,114.15769,,,,,
hun,Hungary,europe,europe_east,europe_central_asia,47,20,,,,,
isl,Iceland,europe,europe_west,europe_central_asia,65,-18,,,,,
ind,India,asia,asia_west,south_asia,22,79,,,,,
idn,Indonesia,asia,east_asia_pacific,east_asia_pacific,-5,120,,,,,
