id,amount_tsh,gps_height,longitude,latitude,region_code,district_code,population,construction_year
454,50.0,2092,35.42602046,-4.22744596,21,1,160,1998
510,0.0,0,35.51007372,-5.7245550000000005,1,6,0,0
14146,0.0,0,32.49986613,-9.08122219,12,6,0,0
47410,0.0,0,34.06048376,-8.83020763,12,7,0,0
1288,300.0,1023,37.03268998,-6.04078736,5,1,120,1997
13095,0.0,0,33.50911169,-2.64850532,19,2,0,0
558,0.0,0,33.7313474,-3.28463291,17,2,0,0
35626,0.0,298,36.8640721,-7.93551733,5,3,250,2009
8696,0.0,0,33.42365819,-2.60699078,19,2,0,0
48650,0.0,1141,30.38113601,-4.640728599999999,16,2,1520,2009
61055,0.0,306,38.55827129,-5.13297983,4,2,500,2008
27298,0.0,365,38.32804689,-5.0196178,4,2,150,2004
52899,0.0,1572,35.05837128,-8.21747907,11,2,0,0
61616,0.0,0,33.51937649,-3.22554906,17,2,0,0
54295,0.0,1510,36.69931386,-3.33968347,2,2,150,1998
18191,0.0,0,0.0,-2e-08,17,1,0,0
22057,0.0,0,33.58541033,-9.24096939,12,4,0,0
39797,0.0,0,31.42559151,-1.21107413,18,7,0,0
20856,0.0,0,35.97038276,-6.67906689,1,4,0,0
59340,0.0,0,0.0,-2e-08,17,1,0,0
52944,0.0,1478,36.92203779,-3.26192908,2,7,95,2012
8638,0.0,1588,34.92011242,-4.48589783,13,2,430,2010
6390,0.0,0,33.14320604,-9.34273411,12,5,0,0
39662,0.0,0,33.16824694,-4.45313213,14,1,0,0
69518,0.0,0,32.9559442,-2.53351748,19,8,0,0
15222,0.0,0,33.14303932,-3.88317384,17,3,0,0
37453,0.0,2047,34.53969463,-9.25212788,11,4,20,1985
9535,0.0,0,0.0,-2e-08,17,1,0,0
51552,0.0,0,34.38167736,-8.71197333,12,7,0,0
3903,10.0,1052,36.95717161,-3.39852481,2,7,126,2003
62063,0.0,0,33.56048994,-9.25003144,12,4,0,0
4773,0.0,0,33.80861934,-9.18297857,12,4,0,0
31083,0.0,0,33.578379299999995,-3.13362051,17,2,0,0
74051,0.0,388,38.48901367,-5.01031014,4,2,300,2008
55030,0.0,0,31.75950442,-2.63542619,18,8,0,0
46989,0.0,0,33.2154417,-4.02882021,14,1,0,0
35395,0.0,0,0.0,-2e-08,17,1,0,0
56429,0.0,0,0.0,-2e-08,17,1,0,0
70752,0.0,1403,36.69423891,-3.03711087,2,6,250,1995
28094,8000.0,1203,31.19737879,-6.22112972,15,1,350,1985
9852,0.0,-24,39.26159620000001,-7.63843968,60,53,1,1997
9196,0.0,0,0.0,-2e-08,19,2,0,0
49980,0.0,1624,36.67436399,-3.31397935,2,2,300,2012
22255,0.0,-13,38.84939617,-6.54603282,6,1,50,2008
67492,0.0,0,31.63263661,-2.94856577,18,8,0,0
47079,250.0,2304,33.96513216,-9.24682442,11,3,0,1986
59437,0.0,0,33.5637782,-3.05054129,17,2,0,0
52900,0.0,477,34.70454912,-11.15302633,10,3,50,1992
25233,0.0,0,33.45395192,-2.86231068,19,4,0,0
38113,0.0,-35,39.36381206,-6.86424983,7,3,140,1970
25946,10.0,1027,37.17690804,-3.2920267,3,5,10,1999
58189,0.0,1074,36.93910466,-3.38547381,2,7,350,2008
12676,0.0,0,31.67150247,-1.82943089,18,3,0,0
30614,500.0,1726,34.51038341,-9.88233061,11,5,1,1992
20048,0.0,0,31.62294662,-1.4965445,18,2,0,0
37803,0.0,0,32.25516522,-4.1356117,17,3,0,0
29117,50.0,51,39.11951676,-6.93072159,7,2,250,2000
52236,30.0,2,38.75935039,-7.98744272,60,53,1,2010
63183,0.0,0,34.08696562,-3.11483093,17,2,0,0
64748,0.0,0,31.44707807,-1.51452724,18,2,0,0
17663,0.0,0,33.40435905,-4.23898076,14,2,0,0
24398,0.0,353,38.62408899,-10.23401205,8,3,244,0
62513,0.0,1076,34.44970834,-4.05167411,13,1,475,2011
44798,1000.0,1386,34.89866748,-9.94453179,11,5,250,1998
34074,0.0,-22,40.30379498,-10.33515414,99,1,800,1971
24665,0.0,0,31.65495431,-1.82425429,18,3,0,0
54568,0.0,1373,33.93958032,-1.86814234,20,3,250,1999
39980,0.0,280,36.24727522,-8.20838629,5,3,350,1984
3740,6000.0,1529,35.57900029,-7.86736004,11,1,1,1985
30191,100.0,1575,35.29587833,-9.38803824,11,4,80,2007
46219,10.0,0,39.03263007,-4.88847169,4,8,550,1990
40805,0.0,264,38.59639191,-5.29659459,4,2,450,1997
39852,0.0,1788,38.26522995,-4.669261799999999,4,1,1,1992
40442,0.0,980,35.71731844,-3.72800985,21,1,154,2002
10580,10.0,279,38.38377374,-6.31235046,6,1,30,1986
25058,0.0,0,33.66694659,-3.20440415,17,2,0,0
10212,0.0,0,0.0,-2e-08,17,1,0,0
732,0.0,1540,37.59914586,-3.23815282,3,1,1,2006
17968,1000.0,1529,37.95424689,-4.37967828,3,3,240,2008
2983,0.0,0,32.94092026,-9.1663747,12,6,0,0
46188,500.0,1813,34.7730908,-9.12284832,11,4,350,2009
51193,0.0,0,36.64750504,-6.25282121,1,3,0,0
31313,0.0,1597,34.71258542,-1.73885106,20,2,990,2011
3760,0.0,2014,35.49675709,-2.23122984,2,5,154,2011
27329,10.0,1363,35.72145023,-3.46745771,24,30,50,1994
66539,30.0,1546,34.72605779,-4.2820032,13,1,219,2006
28240,0.0,1135,33.5138859,-1.83687655,20,3,350,1970
55979,0.0,0,30.67760682,-1.28163088,18,1,0,0
56485,0.0,1468,30.73628105,-3.5961492,16,1,350,2008
13543,0.0,0,34.37868313,-8.75983129,12,7,0,0
74215,0.0,0,32.93320067,-4.35071136,14,1,0,0
49016,0.0,0,32.80056602,-9.12642527,12,6,0,0
49120,0.0,0,32.12466753,-4.5845965,14,4,0,0
17804,0.0,0,36.5606757,-6.36994533,1,1,0,0
73580,300.0,1347,34.37611274,-1.96004011,20,2,1000,2012
73037,500.0,1580,34.61460662,-9.02574892,11,4,40,1978
40123,0.0,0,33.08614043,-8.90710571,12,6,0,0
59946,300.0,1412,37.19829907,-3.2132257,3,5,80,1995
8353,300.0,300,36.99753202,-7.59985747,5,1,60,2011
38630,4700.0,1262,35.23678532,-9.10436923,11,4,57,1986
9220,500.0,334,36.83221031,-8.79956053,5,4,200,2004
19441,40.0,68,39.30596215,-7.00445376,60,43,200,2008
38407,0.0,0,33.34078225,-2.95805497,19,4,0,0
40570,0.0,0,33.70100926,-9.51354004,12,3,0,0
6685,0.0,2567,35.80222223,-2.98458264,2,5,146,2012
4234,300.0,1444,37.65095563,-3.67421137,3,2,20,2007
68383,0.0,0,34.09408546,-3.08083662,17,2,0,0
20006,0.0,1682,34.99098544,-4.58580247,13,2,1,1960
60051,0.0,1640,34.6618521,-1.84156462,20,2,30,1993
65651,50.0,288,38.30837543,-6.51836559,6,1,20,2010
2567,0.0,515,37.56389433,-6.91351499,5,6,1,2009
22298,0.0,0,32.51603743,-3.76204501,17,3,0,0
42852,0.0,0,30.57923115,-2.5065415,18,30,0,0
61240,0.0,0,31.46680293,-1.68265245,18,2,0,0
72689,0.0,0,36.16102514,-5.56972268,1,4,0,0
5663,0.0,1037,29.89896210000001,-4.85372347,16,3,200,1984
54718,0.0,0,33.31397109,-9.00915087,12,2,0,0
7593,0.0,0,31.59246653,-1.79451403,18,3,0,0
72363,100.0,1163,33.0746886,-2.09277344,19,1,550,2010
31023,1000.0,1913,35.18573185,-8.58628227,11,2,0,0
11762,0.0,1510,29.99180219,-4.67340576,16,2,740,1989
68977,0.0,1313,34.36541942,-1.99738762,20,2,200,1995
15803,0.0,1799,37.57482718,-3.12805961,3,1,1,2010
25466,0.0,1397,36.10917941,-7.59938672,11,7,73,1984
71111,0.0,1689,37.48962543,-3.26120619,3,4,1,1972
45,0.0,836,29.69171656,-4.84022317,16,3,400,1992
69511,1000.0,1770,34.80610693,-9.01794461,11,4,35,2009
61737,500.0,356,36.42911072,-8.65795385,5,4,290,2006
61054,0.0,310,38.92805393,-10.88956872,90,33,1,1985
38056,10.0,306,36.3980859,-8.15135235,5,3,500,1979
53523,0.0,0,33.81369075,-9.29560086,12,4,0,0
11609,10.0,1071,36.94637187,-3.39484794,2,7,380,1965
41059,0.0,489,37.64048225,-6.79336795,5,5,235,1985
22880,0.0,0,33.57771688,-9.25252707,12,4,0,0
71694,0.0,1026,37.01694511,-6.03890454,5,1,350,1996
65989,0.0,0,31.13171232,-1.64108055,18,1,0,0
71096,1500.0,1542,37.89428685,-4.3635191,3,3,220,1978
25305,50.0,-13,39.53358444,-7.05889516,7,3,80,2000
41789,0.0,0,34.03556041,-8.85668292,12,7,0,0
57862,0.0,1772,38.26728764,-4.6683255,4,1,1,1992
71636,0.0,1351,34.00800794,-1.78904013,20,3,320,1964
26683,0.0,1673,34.87583927,-4.8958308,13,2,75,2000
65455,0.0,1377,34.2444701,-2.96951144,17,1,500,1995
58328,0.0,0,32.98856004,-2.48937845,19,8,0,0
2504,0.0,1613,37.13990329,-3.17869608,3,7,1,1999
33900,50.0,1443,36.6903792,-3.35653253,2,2,200,2000
4687,0.0,1626,34.77443853,-4.72055591,13,4,58,2006
48634,0.0,0,31.08682987,-1.31330366,18,1,0,0
14326,0.0,625,37.56451071,-4.18247567,3,3,87,2011
14679,0.0,0,0.0,-2e-08,19,2,0,0
16884,0.0,331,37.04390457,-7.54043629,5,1,250,2009
29793,0.0,0,33.44263495,-2.86425881,19,4,0,0
23073,500.0,1160,30.42478918,-4.28009421,16,2,965,2009
34777,0.0,0,33.96304277,-4.15578551,14,2,0,0
20273,0.0,484,37.74729023,-7.25916837,5,2,400,1995
58389,0.0,306,39.57037214,-10.7034945,9,4,1,1982
19858,8000.0,1464,35.28349415,-9.75879461,10,2,0,1976
19548,0.0,0,30.7575028,-2.54204907,18,30,0,0
30326,2400.0,1703,35.38196561,-8.17943,11,2,0,2000
5921,0.0,1914,35.4464496,-8.26714561,11,2,0,0
68270,0.0,861,37.39092504,-3.33830532,3,4,50,1975
22352,0.0,1429,34.39573823,-1.31679158,20,1,100,1998
30279,0.0,1397,34.38824056,-2.97987797,17,1,300,1995
27660,500.0,1526,34.74184861,-4.69126867,13,4,68,2011
30824,0.0,0,32.54344487,-3.544061,17,3,0,0
43819,0.0,1389,30.92222598,-2.93863856,16,1,350,2010
40339,50.0,0,37.13295789,-6.17998303,5,1,188,1984
37008,1000.0,1055,37.82287905,-4.14888473,3,3,450,2011
23333,0.0,0,31.41388574,-0.99950651,18,7,0,0
19574,500.0,575,37.23245087,-10.95524842,10,1,1,1992
42262,0.0,0,31.14262533,-1.81451008,18,1,0,0
66704,0.0,0,36.58894787,-6.06038839,1,3,0,0
65166,0.0,477,34.80494228,-11.28312361,10,3,40,1990
17656,0.0,0,32.97800166,-9.33104681,12,5,0,0
74085,2000.0,949,37.61762232,-3.78452177,3,2,42,2005
65120,0.0,0,36.13034356,-6.6682570000000005,1,1,0,0
38387,0.0,0,33.34410941,-8.90918244,12,2,0,0
1460,0.0,288,39.05994214,-10.35580647,80,53,530,1980
49602,0.0,0,35.89640795,-4.70883016,1,1,0,0
37834,0.0,1768,36.15831658,-2.88534871,2,6,465,1978
46880,0.0,1552,34.90617156,-5.06949359,13,2,300,1980
49669,0.0,1618,37.13796411,-3.17843626,3,7,1,1999
39588,0.0,771,36.95855644,-10.79734959,10,1,1,1992
47175,500.0,282,36.05442964,-8.89275219,5,4,130,1996
54442,50.0,344,39.48455305,-10.81126237,9,4,1,2008
54105,0.0,1263,34.15197961,-1.75368075,20,3,150,1991
59492,0.0,0,30.6594605,-2.72414669,18,30,0,0
25994,0.0,0,33.46535201,-3.40455833,17,8,0,0
63585,0.0,0,32.75630075,-3.91633653,17,3,0,0
34376,10.0,1491,35.69502798,-3.33167431,24,30,200,2002
50874,0.0,0,0.0,-2e-08,19,6,0,0
21712,0.0,350,37.5009925,-6.27271494,5,6,23,1976
10826,0.0,1115,34.96711855,-5.83313416,13,3,250,1974
56918,0.0,0,32.98109869,-2.57789641,19,3,0,0
64444,15.0,1042,35.29898732,-3.52644973,24,30,100,1998
28418,0.0,1290,30.040223699999995,-4.78062576,16,2,480,1976
25056,0.0,0,32.20297294,-4.67883902,14,4,0,0
