,Counts,Sum_Duration,Hour,Day,Month,Year,atemperatue,humidity,temperature,windSpeed,Day_Name,weekday,Holiday
2015-01-01 00:00:00-05:00,54,48944.0,0,1,1,2015,-4.02,0.67,-4.02,0.04,Thursday,1,0
2015-01-01 01:00:00-05:00,114,79028.0,1,1,1,2015,-4.3,0.7,-4.3,0.43,Thursday,1,0
2015-01-01 02:00:00-05:00,100,67666.0,2,1,1,2015,-4.09,0.67,-4.09,0.57,Thursday,1,0
2015-01-01 03:00:00-05:00,16,31606.0,3,1,1,2015,-3.86,0.64,-3.86,0.55,Thursday,1,0
2015-01-01 04:00:00-05:00,8,5083.0,4,1,1,2015,-4.27,0.64,-4.27,0.47,Thursday,1,0
2015-01-01 05:00:00-05:00,6,6521.0,5,1,1,2015,-3.76,0.62,-3.76,0.3,Thursday,1,0
2015-01-01 06:00:00-05:00,7,6481.0,6,1,1,2015,-3.85,0.62,-3.85,0.25,Thursday,1,0
2015-01-01 07:00:00-05:00,11,12165.0,7,1,1,2015,-4.7,0.66,-4.7,0.09,Thursday,1,0
2015-01-01 08:00:00-05:00,32,33553.0,8,1,1,2015,-4.5,0.63,-4.5,0.13,Thursday,1,0
2015-01-01 09:00:00-05:00,46,50216.0,9,1,1,2015,-0.99,0.59,-0.99,3.89,Thursday,1,0
2015-01-01 10:00:00-05:00,103,109120.0,10,1,1,2015,0.95,0.51,0.95,4.54,Thursday,1,0
2015-01-01 11:00:00-05:00,214,217303.0,11,1,1,2015,0.41,0.48,2.95,9.26,Thursday,1,0
2015-01-01 12:00:00-05:00,202,197646.0,12,1,1,2015,1.43,0.39,4.25,11.63,Thursday,1,0
2015-01-01 13:00:00-05:00,206,201350.0,13,1,1,2015,3.06,0.35,5.17,9.2,Thursday,1,0
2015-01-01 14:00:00-05:00,231,316056.0,14,1,1,2015,3.74,0.35,5.92,10.18,Thursday,1,0
2015-01-01 15:00:00-05:00,249,250783.0,15,1,1,2015,3.99,0.34,6.07,9.83,Thursday,1,0
2015-01-01 16:00:00-05:00,285,359969.0,16,1,1,2015,4.64,0.35,6.27,8.03,Thursday,1,0
2015-01-01 17:00:00-05:00,201,238658.0,17,1,1,2015,4.64,0.4,5.54,5.19,Thursday,1,0
2015-01-01 18:00:00-05:00,149,122989.0,18,1,1,2015,4.41,0.42,4.41,0.94,Thursday,1,0
2015-01-01 19:00:00-05:00,97,47562.0,19,1,1,2015,3.87,0.45,3.87,1.81,Thursday,1,0
2015-01-01 20:00:00-05:00,90,56715.0,20,1,1,2015,3.61,0.47,3.61,2.28,Thursday,1,0
2015-01-01 21:00:00-05:00,71,48074.0,21,1,1,2015,3.42,0.5,3.42,3.7,Thursday,1,0
2015-01-01 22:00:00-05:00,54,33974.0,22,1,1,2015,3.51,0.51,3.51,2.69,Thursday,1,0
2015-01-01 23:00:00-05:00,32,17716.0,23,1,1,2015,3.62,0.52,3.62,1.88,Thursday,1,0
2015-01-02 00:00:00-05:00,25,23455.0,0,2,1,2015,3.57,0.55,3.57,4.12,Friday,1,0
2015-01-02 01:00:00-05:00,18,14480.0,1,2,1,2015,2.62,0.57,2.62,2.59,Friday,1,0
2015-01-02 02:00:00-05:00,8,3856.0,2,2,1,2015,1.16,0.66,1.16,0.66,Friday,1,0
2015-01-02 03:00:00-05:00,5,3270.0,3,2,1,2015,0.9,0.66,0.9,1.13,Friday,1,0
2015-01-02 04:00:00-05:00,5,7644.0,4,2,1,2015,0.87,0.66,0.87,0.96,Friday,1,0
2015-01-02 05:00:00-05:00,24,15262.0,5,2,1,2015,1.18,0.64,1.18,3.41,Friday,1,0
2015-01-02 06:00:00-05:00,69,36026.0,6,2,1,2015,1.15,0.65,1.15,0.73,Friday,1,0
2015-01-02 07:00:00-05:00,162,93536.0,7,2,1,2015,0.71,0.67,0.71,0.41,Friday,1,0
2015-01-02 08:00:00-05:00,345,215531.0,8,2,1,2015,-0.09,0.71,-0.09,1.62,Friday,1,0
2015-01-02 09:00:00-05:00,306,215328.0,9,2,1,2015,1.0,0.69,1.0,1.32,Friday,1,0
2015-01-02 10:00:00-05:00,191,187338.0,10,2,1,2015,2.77,0.51,3.81,4.96,Friday,1,0
2015-01-02 11:00:00-05:00,284,301700.0,11,2,1,2015,3.5,0.46,5.19,7.53,Friday,1,0
2015-01-02 12:00:00-05:00,409,637552.0,12,2,1,2015,5.56,0.45,6.36,5.22,Friday,1,0
2015-01-02 13:00:00-05:00,375,438859.0,13,2,1,2015,7.09,0.41,7.09,4.18,Friday,1,0
2015-01-02 14:00:00-05:00,397,542341.0,14,2,1,2015,6.83,0.39,7.61,5.71,Friday,1,0
2015-01-02 15:00:00-05:00,417,440008.0,15,2,1,2015,6.6,0.38,7.74,7.02,Friday,1,0
2015-01-02 16:00:00-05:00,493,491869.0,16,2,1,2015,7.6,0.38,7.6,4.7,Friday,1,0
2015-01-02 17:00:00-05:00,463,336306.0,17,2,1,2015,6.74,0.41,6.74,3.37,Friday,1,0
2015-01-02 18:00:00-05:00,382,274250.0,18,2,1,2015,5.41,0.46,5.41,0.86,Friday,1,0
2015-01-02 19:00:00-05:00,248,187355.0,19,2,1,2015,3.21,0.6,3.21,1.45,Friday,1,0
2015-01-02 20:00:00-05:00,149,98800.0,20,2,1,2015,2.04,0.65,2.04,1.08,Friday,1,0
2015-01-02 21:00:00-05:00,137,89322.0,21,2,1,2015,1.29,0.69,1.29,0.97,Friday,1,0
2015-01-02 22:00:00-05:00,116,96845.0,22,2,1,2015,0.79,0.71,0.79,1.57,Friday,1,0
2015-01-02 23:00:00-05:00,80,38073.0,23,2,1,2015,0.22,0.74,0.22,1.39,Friday,1,0
2015-01-03 00:00:00-05:00,61,35894.0,0,3,1,2015,-0.09,0.75,-0.09,1.01,Saturday,0,1
2015-01-03 01:00:00-05:00,50,28509.0,1,3,1,2015,-0.47,0.76,-0.47,1.2,Saturday,0,1
2015-01-03 02:00:00-05:00,21,10989.0,2,3,1,2015,-0.51,0.78,-0.51,0.77,Saturday,0,1
2015-01-03 03:00:00-05:00,14,8468.0,3,3,1,2015,0.1,0.78,0.1,1.96,Saturday,0,1
2015-01-03 04:00:00-05:00,6,3440.0,4,3,1,2015,1.45,0.7,1.45,1.69,Saturday,0,1
2015-01-03 05:00:00-05:00,2,1035.0,5,3,1,2015,1.33,0.61,2.72,5.45,Saturday,0,1
2015-01-03 06:00:00-05:00,11,8119.0,6,3,1,2015,1.2,0.62,2.85,6.19,Saturday,0,1
2015-01-03 07:00:00-05:00,25,13711.0,7,3,1,2015,2.97,0.65,2.97,4.42,Saturday,0,1
2015-01-03 08:00:00-05:00,40,52231.0,8,3,1,2015,1.56,0.74,2.72,4.87,Saturday,0,1
2015-01-03 09:00:00-05:00,84,65630.0,9,3,1,2015,1.33,0.82,2.53,4.91,Saturday,0,1
2015-01-03 10:00:00-05:00,159,108859.0,10,3,1,2015,1.35,0.84,2.89,5.89,Saturday,0,1
2015-01-03 11:00:00-05:00,133,147047.0,11,3,1,2015,2.23,0.84,3.37,5.03,Saturday,0,1
2015-01-03 12:00:00-05:00,95,88292.0,12,3,1,2015,1.44,0.85,3.41,7.43,Saturday,0,1
2015-01-03 13:00:00-05:00,118,73907.0,13,3,1,2015,3.58,0.87,3.58,3.87,Saturday,0,1
2015-01-03 14:00:00-05:00,144,113708.0,14,3,1,2015,2.47,0.88,3.73,5.46,Saturday,0,1
2015-01-03 15:00:00-05:00,155,120435.0,15,3,1,2015,3.97,0.88,3.97,3.83,Saturday,0,1
2015-01-03 16:00:00-05:00,122,88671.0,16,3,1,2015,4.02,0.9,4.02,3.56,Saturday,0,1
2015-01-03 17:00:00-05:00,104,63237.0,17,3,1,2015,3.87,0.91,3.87,4.16,Saturday,0,1
2015-01-03 18:00:00-05:00,114,60413.0,18,3,1,2015,2.53,0.91,3.69,5.19,Saturday,0,1
2015-01-03 19:00:00-05:00,85,48816.0,19,3,1,2015,3.78,0.92,3.78,3.99,Saturday,0,1
2015-01-03 20:00:00-05:00,51,25852.0,20,3,1,2015,4.02,0.92,4.02,2.51,Saturday,0,1
2015-01-03 21:00:00-05:00,26,12724.0,21,3,1,2015,4.1,0.92,4.1,4.23,Saturday,0,1
2015-01-03 22:00:00-05:00,26,15432.0,22,3,1,2015,4.21,0.92,4.21,3.17,Saturday,0,1
2015-01-03 23:00:00-05:00,57,30112.0,23,3,1,2015,4.13,0.93,4.13,4.78,Saturday,0,1
2015-01-04 00:00:00-05:00,35,21157.0,0,4,1,2015,4.35,0.93,4.35,2.97,Sunday,0,1
2015-01-04 01:00:00-05:00,32,18478.0,1,4,1,2015,3.21,0.92,4.72,6.64,Sunday,0,1
2015-01-04 02:00:00-05:00,29,13765.0,2,4,1,2015,2.78,0.93,4.97,9.38,Sunday,0,1
2015-01-04 03:00:00-05:00,10,6006.0,3,4,1,2015,3.32,0.92,5.52,9.87,Sunday,0,1
2015-01-04 04:00:00-05:00,3,1032.0,4,4,1,2015,4.24,0.92,6.18,9.28,Sunday,0,1
2015-01-04 05:00:00-05:00,4,1565.0,5,4,1,2015,5.43,0.92,6.64,6.64,Sunday,0,1
2015-01-04 06:00:00-05:00,7,62352.0,6,4,1,2015,6.96,0.92,6.96,4.72,Sunday,0,1
2015-01-04 07:00:00-05:00,12,6944.0,7,4,1,2015,6.26,0.92,7.22,6.08,Sunday,0,1
2015-01-04 08:00:00-05:00,43,48182.0,8,4,1,2015,6.08,0.93,7.71,9.14,Sunday,0,1
2015-01-04 09:00:00-05:00,112,77939.0,9,4,1,2015,6.58,0.93,8.55,11.94,Sunday,0,1
2015-01-04 10:00:00-05:00,210,142501.0,10,4,1,2015,7.14,0.93,9.35,14.86,Sunday,0,1
2015-01-04 11:00:00-05:00,258,205865.0,11,4,1,2015,10.61,0.91,10.61,15.5,Sunday,0,1
2015-01-04 12:00:00-05:00,340,274706.0,12,4,1,2015,12.58,0.87,12.58,16.44,Sunday,0,1
2015-01-04 13:00:00-05:00,343,361629.0,13,4,1,2015,13.65,0.85,13.65,10.97,Sunday,0,1
