,count,Hour,Day,Month,Year,atemp,humidity,temp,windspeed,Day_Name,workingday,holiday,season
2015-01-01 00:00:00-05:00,54,0,1,1,2015,-4.02,67.0,-4.02,0.04,Thursday,1,0,1
2015-01-01 01:00:00-05:00,114,1,1,1,2015,-4.3,70.0,-4.3,0.43,Thursday,1,0,1
2015-01-01 02:00:00-05:00,100,2,1,1,2015,-4.09,67.0,-4.09,0.57,Thursday,1,0,1
2015-01-01 03:00:00-05:00,16,3,1,1,2015,-3.86,64.0,-3.86,0.55,Thursday,1,0,1
2015-01-01 04:00:00-05:00,8,4,1,1,2015,-4.27,64.0,-4.27,0.47,Thursday,1,0,1
2015-01-01 05:00:00-05:00,6,5,1,1,2015,-3.76,62.0,-3.76,0.3,Thursday,1,0,1
2015-01-01 06:00:00-05:00,7,6,1,1,2015,-3.85,62.0,-3.85,0.25,Thursday,1,0,1
2015-01-01 07:00:00-05:00,11,7,1,1,2015,-4.7,66.0,-4.7,0.09,Thursday,1,0,1
2015-01-01 08:00:00-05:00,32,8,1,1,2015,-4.5,63.0,-4.5,0.13,Thursday,1,0,1
2015-01-01 09:00:00-05:00,46,9,1,1,2015,-0.99,59.0,-0.99,3.89,Thursday,1,0,1
2015-01-01 10:00:00-05:00,103,10,1,1,2015,0.95,51.0,0.95,4.54,Thursday,1,0,1
2015-01-01 11:00:00-05:00,214,11,1,1,2015,0.41,48.0,2.95,9.26,Thursday,1,0,1
2015-01-01 12:00:00-05:00,202,12,1,1,2015,1.43,39.0,4.25,11.63,Thursday,1,0,1
2015-01-01 13:00:00-05:00,206,13,1,1,2015,3.06,35.0,5.17,9.2,Thursday,1,0,1
2015-01-01 14:00:00-05:00,231,14,1,1,2015,3.74,35.0,5.92,10.18,Thursday,1,0,1
2015-01-01 15:00:00-05:00,249,15,1,1,2015,3.99,34.0,6.07,9.83,Thursday,1,0,1
2015-01-01 16:00:00-05:00,285,16,1,1,2015,4.64,35.0,6.27,8.03,Thursday,1,0,1
2015-01-01 17:00:00-05:00,201,17,1,1,2015,4.64,40.0,5.54,5.19,Thursday,1,0,1
2015-01-01 18:00:00-05:00,149,18,1,1,2015,4.41,42.0,4.41,0.94,Thursday,1,0,1
2015-01-01 19:00:00-05:00,97,19,1,1,2015,3.87,45.0,3.87,1.81,Thursday,1,0,1
2015-01-01 20:00:00-05:00,90,20,1,1,2015,3.61,47.0,3.61,2.28,Thursday,1,0,1
2015-01-01 21:00:00-05:00,71,21,1,1,2015,3.42,50.0,3.42,3.7,Thursday,1,0,1
2015-01-01 22:00:00-05:00,54,22,1,1,2015,3.51,51.0,3.51,2.69,Thursday,1,0,1
2015-01-01 23:00:00-05:00,32,23,1,1,2015,3.62,52.0,3.62,1.88,Thursday,1,0,1
2015-01-02 00:00:00-05:00,25,0,2,1,2015,3.57,55.00000000000001,3.57,4.12,Friday,1,0,1
2015-01-02 01:00:00-05:00,18,1,2,1,2015,2.62,56.99999999999999,2.62,2.59,Friday,1,0,1
2015-01-02 02:00:00-05:00,8,2,2,1,2015,1.16,66.0,1.16,0.66,Friday,1,0,1
2015-01-02 03:00:00-05:00,5,3,2,1,2015,0.9,66.0,0.9,1.13,Friday,1,0,1
2015-01-02 04:00:00-05:00,5,4,2,1,2015,0.87,66.0,0.87,0.96,Friday,1,0,1
2015-01-02 05:00:00-05:00,24,5,2,1,2015,1.18,64.0,1.18,3.41,Friday,1,0,1
2015-01-02 06:00:00-05:00,69,6,2,1,2015,1.15,65.0,1.15,0.73,Friday,1,0,1
2015-01-02 07:00:00-05:00,162,7,2,1,2015,0.71,67.0,0.71,0.41,Friday,1,0,1
2015-01-02 08:00:00-05:00,345,8,2,1,2015,-0.09,71.0,-0.09,1.62,Friday,1,0,1
2015-01-02 09:00:00-05:00,306,9,2,1,2015,1.0,69.0,1.0,1.32,Friday,1,0,1
2015-01-02 10:00:00-05:00,191,10,2,1,2015,2.77,51.0,3.81,4.96,Friday,1,0,1
2015-01-02 11:00:00-05:00,284,11,2,1,2015,3.5,46.0,5.19,7.53,Friday,1,0,1
2015-01-02 12:00:00-05:00,409,12,2,1,2015,5.56,45.0,6.36,5.22,Friday,1,0,1
2015-01-02 13:00:00-05:00,375,13,2,1,2015,7.09,41.0,7.09,4.18,Friday,1,0,1
2015-01-02 14:00:00-05:00,397,14,2,1,2015,6.83,39.0,7.61,5.71,Friday,1,0,1
