,Song_name,red-hot-chili-peppers
0,magpies on fire   ,"""Magpgies on fire making love like little worms out on the porch can leave the medicine oh well I'm game, for anything at all Scarecrows a liar spends the year alone no one checked it out to see if it was real sold you the moon and now it's time to fall all in all it's like the bird who's trapped alone inside the cage love"", ""What more do you want? how much more can you take? I love my mistakes I've been here before all in all it's just a call of something wise beyond your room"", ""There's a changing of a major chord your minor threat will do, love my gun misfired shot myself instead i guess i always knew id be the one to lose last scream dont slane time to make a move"", ""What more do you want? how much more can you take? I love my mistakes I've been here before all in all it's like the bird trapped inside the cage love A bird bout half your age, girl a bird who's never really here to say"", ""What more do you want? how much more can you take? I love my mistakes I've been here before least of all she's like a bird who's now been freed from someones cage"""
1,on mercury   ,"""I've got myself in a masochistic hold why don't you let go shake it off just to redirect my flow come on let's go"", ""Sit up straight I'm on a double date I've got to find my way into the light heavy middle weight we don't stop rock around the clock motor mouthing off in front of every other road block"", ""come again and tell me what you're going through like a girl who only knew her child was due"", ""memories of everything of lemon trees on mercury come to me with remedies from five or six of seven seas you always took me with a smile when I was down memories of everything that blew through"", ""looking up into a reverse vertigo what an undertow give it up another stubborn scorpio come on, let's go"", ""Sit up straight I'm on a double date I've got to find my way into the light heavy middle weight we don't stop rock around the clock motor mouthing off in front of every other road block"", ""Come again and tell me what you're going through like a girl who only knew her child was due"", ""to the moon she gave another good review turn around and look at me it's really really you"", ""memories of everything of lemon trees on mercury come to me with remedies from five or six of seven seas you always took me with a smile when I was down memories of everything that blew through"", ""Sit up straight I'm on a double date I've got to find my way into the light heavy middle weight we don't stop rock around the clock motor mouthing off in front of every other road block"", ""memories of everything of lemon trees on mercury come to me with remedies from five or six of seven seas you always took me with a smile when I was down memories of everything that blew through"", ""memories of everything of lemon trees on mercury come to me with remedies from five or six of seven seas you always took me with a smile when I was down memories of everything that blew through"""
2,carlifornication   ,"""Psychic spies from China Try to steal your mind's elation And little girls from Sweden Dream of silver screen quotation And if you want these kind of dreams It's Californication"", ""It's the edge of the world And all of western civilization The sun may rise in the East At least it's settled in a final location It's understood that Hollywood sells Californication"", ""Pay your surgeon very well To break the spell of aging Celebrity skin, is this your chin? Or is that war you're waging?"", ""First born unicorn Hardcore soft porn Dream of Californication Dream of Californication"", ""Marry me girl, be my fairy to the world Be my very own constellation A teenage bride with a baby inside Getting high on information And buy me a star on the boulevard It's Californication"", ""Space may be the final frontier But it's made in a Hollywood basement And Cobain, can you hear the spheres Singing songs off \""Station to Station\""? And Alderaan's not far away It's Californication"", ""Born and raised by those who praise control of population Well, everybody's been there And I don't mean on vacation"", ""First born unicorn Hardcore soft porn Dream of Californication Dream of Californication Dream of Californication Dream of Californication"", ""Destruction leads to a very rough road But it also breeds creation And earthquakes are to a girl's guitar They're just another good vibration And tidal waves couldn't save the world from Californication"", ""Pay your surgeon very well To break the spell of aging Sicker than the rest, there is no test But this is what you're craving"", ""First born unicorn Hardcore soft porn Dream of Californication Dream of Californication Dream of Californication Dream of Californication"""
3,dont forget me   ,"""I'm an ocean in your bedroom Make you feel warm Make you wanna re-assume Now, we know it all for sure"", ""I'm a dance hall Dirty break beat Make the snow fall Up from underneath your feet Not alone, I'll be there Tell me when you wanna go"", ""I'm a meth lab, first rehab Take it all off And step inside the running cab"", ""There's a love that knows the way I'm the rainbow In your jail cell All the memories of Everything you've ever smelled"", ""Not alone, I'll be there Tell me when you want to go Ooh Don't forget me, I can't hide it Come again, get me excited"", ""I'm an inbred and a pothead Two legs that you spread Inside the tool shed Now, we know it all for sure"", ""I could show you To the free field Overcome and more Will always be revealed"", ""Not alone, I'll be there Tell me when you wanna go Ooh Don't forget me, I can't hide it Come again, get me excited, ooh Don't forget me, I can't hide it Never met now, let me light it"", ""I'm the bloodstain On your shirt sleeve Coming down and more are coming to believe Now, we know it all for sure Make the hair stand Up on your arm Teach you how to dance Inside the funny farm Not alone, I'll be there Tell me when you wanna go I'll be there but Tell me when you wanna go Come again and Tell me when you wanna go More will be revealed my friend"""
4,skinny sweaty man   ,"""Flashin' lots of cash and spendin' lots-o-loot He's sitting at the bar - then he's sittin' at the booth Across the dance floor he does scoot He's the skinny sweaty man in the green suit"", ""The caboose that could he goes toot toot Been known to gag and sometimes puke A very good friend of granny goose He's the skinny sweaty man in the green suit"", ""Skinny sweaty man in the green suit"", ""He's half man and half cartoon But good buddy don't be confused He's full blooded looney tune He's the skinny sweaty man in the green suit"", ""Face to face with the man in the moon His family doctor is doctor seuss If you catch him in your soup please don't shoot He's the skinny sweaty man in the green suit"", ""Skinny sweaty man in the green suit"", ""He was new in town A free wheelin' clown A very funny young duke Hangin' under the roof Of a place in time United sound"", ""He'll play a little guitar sing a few blues He's the kinda guy that you can't refuse Despite the fact that he's no brute He's the skinny sweaty man in the green suit"", ""Strike the magic groove make him jerk and move Like an eight legged freak in snakeskin boots Coming soon to a theatre near you He's the skinny sweaty man in the green suit"", ""Skinny sweaty man in the green suit"""
5,slow cheetah   ,"""Waking up dead inside of my head Will never never do there is no med No medicine to take"", ""I've had a chance to be insane Asylum from the falling rain I've had a chance to break"", ""It's so bad it's got to be good Mysterious girl misunderstood Dressed like a wedding cake"", ""Any other day and I might play A funeral march for Bonnie Brae Why try and run away"", ""Slow cheetah come before my forest Looks like it's on today Slow cheetah come it's so euphoric No matter what they say"", ""I know a girl she worked in a store She knew not what her life was for She barely knew her name"", ""They tried to tell her she would never be As happy as the girl In the magazine She bought it with her pay"", ""Slow cheetah come before my forest Looks like it's on today Slow cheetah come it's so euphoric No matter what they say"", ""Everyone has so much to say They talk talk talk their lives away Don't even hesitate"", ""Walking on down to the burial ground It's a very old dance with a merry old sound Looks like it's on today Slow cheetah come before my forest Looks like it's on today Slow cheetah come it's so euphoric No matter what they say Slow cheetah come before my forest Looks like it's on today Slow cheetah come it's so euphoric No matter what they say"""
6,savior   ,"""Dusting off your savior You were always my favorite"", ""Always my man, all in a hand To celebrate you is greater"", ""Now that I can, always my man Now you see what I came for"", ""No one here is to blame for Misunderstand, all in a hand Just like you 'cause you made me All that I am, all in a hand"", ""A butterfly that flaps its wings Affecting almost everything The more I hear the orchestra"", ""The more I have something to bring And now I see you in a beautiful And different light"", ""He's just a man and any damage done Will be all right Call out my name Call and I came Dusting off your savior Forgiving any behavior He's just a man, all in a hand"", ""Your hero's destined to waver Anyone can, always my man"", ""I would never betray you Look at me who could raise you Face in the sand, safe in your hand You were always my favorite Always my man, all in a hand We are the red hots and"", ""We're loving up the love me nots The flowers in your flower pots Are dancing on the table tops And now I see you in a beautiful And different light He's just a man and everything he does Will be all right Call out my name Call and I came Dusting off your savior The life that you have narrated You were my man."""
7,search destroy   ,
8,baby appeal   ,"""On the city streets, I got the tunes in my pocket I'll play the Chili Pepper so the public can rock Excuse me mister, won't you hear my thought? I play in a band, yeah, we're called the Red Hots"", ""While I'm away, boy, I'm afraid not I've got no time to flick and talk But this baby rocked out on the spot She was a shakin' and a kickin' and that did a bit of tot"", ""Her pop said no but I just couldn't stop The killer had a case of tod the rock"", ""But here's a funky fact that I know is real The Red Hots have baby appeal They dig a funky spiel, they'll make some spiel I say the Peppers have baby appeal"", ""The funk mobile is the one we wheel I'm overjoyed, we have baby appeal We serve those tots in the funk mobile I'm overjoyed, we have baby appeal"", ""We stop the fire, we quench the heat We groove the buttocks walking out in the street 'Cos that's when in the store, when who do we meet? On a hop, skip, jump up a baby beat"", ""She was a shakin' and a kickin' those itty bitty feet The next thing you know was, she got out of her bleat Five thousand babies, walkin' out in the street Well, that's a serious sight for me and golly gee wizz"", ""I just can't tell ya how much we did Rockin' right out for those itty bitty girls, right out"", ""But here's a funky fact that I know is real The Red Hots have baby appeal They dig a funky spiel, they'll make some spiel I say the Peppers have baby appeal"", ""The funk mobile is the one we wheel I'm overjoyed, we have baby appeal We serve those tots in the funk mobile I'm overjoyed, we have baby appeal, so get down"", ""Got the tunes in my pocket Baby appeal, rock out Play the chili, play the chili, play the chili Yes, we're called the Red Hots"", ""On the city streets, I got the tunes in my pocket I'll play the Chili Pepper, so the public can rock Excuse me mister, won't you hear my thought? I play in a band, yeah, we're called the Red Hots"", ""While I'm away, boy, I'm afraid not I've got no time to flick and talk But this baby rocked out on the spot She was a shakin' and a kickin' and that did a bit of tot"", ""Her pop said no but I just couldn't stop The killer had a case of tod the rock"", ""But here's a funky fact that I know is real The Red Hots have baby appeal They dig a funky spiel, they'll make some spiel I say the Peppers have baby appeal"", ""The funk mobile is the one we wheel I'm overjoyed, we have baby appeal We serve those tots in the funk mobile I'm overjoyed, we have baby appeal"""
9,body of water   ,"""Show me a sign that I love you  Blow me your mind cause you always do  Remind me to tell you that I've come to  Believe in the beauty, the power of you "", ""Woman dissolved into the sea  The body of water is calling me  The god of my daughter is always free  There's nothing to solve when you're solving me "", ""Ooh ooh ooh, I'm in your company  Ooh ooh ooh, body that's calling me  Ooh ooh ooh, I'm in your company "", ""Throw me a line I could use one  A special design because I'm your son  Two thousand below where I feel my love  The body of water where I come from "", ""Ooh ooh ooh, I'm in your company  Ooh ooh ooh, body that's calling me  Ooh ooh ooh, I'm in your company "", ""I'm dreaming, got a reason to steal  Fire from the other side out there  Formations flow like streams  I'm made with a life to spare  Get the jizz, Mr. Sism got a rhythm  Technology of a prayer  Scientist to the prism of faith  And hope so I am there "", ""Baby I'm home, you can come here  The science of love is becoming clear  Invisible love with the color still  A meet to a place in the atmosphere  And I may believe "", ""Ooh ooh ooh, I'm in your company  Ooh ooh ooh, body that's calling me  Ooh ooh ooh, I'm in your company"""
10,brendans death song   ,"""Live or die before I get it done will you decide Take my words and turn them into signs they will survive because along time ago I knew not to deprive It's safe out there now your everywhere just like the sky And you I love you you are the lucid dream you are the ride and when you hear this you know it's your jam, it's your goodbye like I said you know I'm almost dead you know I'm almost gone and when the drummer drums it's gonna play my song to carry me along like I said you know I'm almost dead you know I'm almost gone and when the moment comes to bury me away to where we all belong We all cross when were feeling lost it's just the time Could terry cry the day her lover died she recognized because you gave her a life of real love it's no surprise like I said you know I'm almost dead you know I'm almost gone and when the drummer drums it's gonna play my song to carry me along"", ""Then we live, so every time you die, he's in the revert sky Lay me down, so when it's time to leave. another sun will rise... I said Yeah! Yeah! Yeah! Yeah! Yeah! I said Yeah! Yeah! Yeah! Yeah! Yeah! Like I said you know I'm almost dead you know I'm almost gone and when the moment comes to bury me away to where we all belong Like I said you know I'm almost dead you know I'm almost gone Like I said you know I'm almost dead you know I'm almost gone Like I said you know I'm almost dead you know I'm almost gone"""
11,dr funkenstein live   ,"""Dr. Funkenstein"", ""We love you, Dr. Funkenstein Your funk is the best Take my body and give it a mind To funk with the rest"", ""We love you, Dr. Funkenstein Your funk is the best Take my body, give it a mind To funk with the rest"", ""No, yeah, yeah Shut up"""
12,melancholy mechanics   ,"""Persistant mystic faults my vision It's like always this point of collision"", ""It's raining in my cranium My head feels like a stadium"", ""3 pounds of grain About to burst Inside my 3 pound universe"", ""It's raining in my cranium My head feels like a stadium"", ""These are the melancholy mechanics of my mind"", ""Symbols I've been given to express my goal Always come up short You know they just don't get that low"", ""It's raining in my cranium My head feels like a stadium"", ""These are the melancholy mechanics of my mind"", ""Quick release chemicals strike with incomprehensible precision Biorganic electronics targeting microscopic destinations of devastation Cleaner than light Meaner than a laser fight in the night 2000 Billions of micro maniacs unknown to most as the uncontrollable soldiers Of suffering succotash Instantaneous infiltration leaves me with a case of bustation, frustration, Alone in the constellation of alienation Detached from empty conversation I wait I wait for the wave to break"""
13,californication   ,"""Psychic spies from China Try to steal your mind's elation And little girls from Sweden Dream of silver screen quotation And if you want these kind of dreams It's Californication"", ""It's the edge of the world And all of western civilization The sun may rise in the East At least it's settled in a final location It's understood that Hollywood sells Californication"", ""Pay your surgeon very well To break the spell of aging Celebrity skin, is this your chin? Or is that war you're waging?"", ""First born unicorn Hardcore soft porn Dream of Californication Dream of Californication"", ""Marry me girl, be my fairy to the world Be my very own constellation A teenage bride with a baby inside Getting high on information And buy me a star on the boulevard It's Californication"", ""Space may be the final frontier But it's made in a Hollywood basement And Cobain, can you hear the spheres Singing songs off \""Station to Station\""? And Alderaan's not far away It's Californication"", ""Born and raised by those who praise control of population Well, everybody's been there And I don't mean on vacation"", ""First born unicorn Hardcore soft porn Dream of Californication Dream of Californication Dream of Californication Dream of Californication"", ""Destruction leads to a very rough road But it also breeds creation And earthquakes are to a girl's guitar They're just another good vibration And tidal waves couldn't save the world from Californication"", ""Pay your surgeon very well To break the spell of aging Sicker than the rest, there is no test But this is what you're craving"", ""First born unicorn Hardcore soft porn Dream of Californication Dream of Californication Dream of Californication Dream of Californication"""
14,the getaway   ,"""That's right you're right We will do our thing tonight alright Take me through the future It's time you're fine Just another color coded crime Incision and a suture You told my friend We would get it on no matter when A supercavitation Let's go you show Me something no one will ever know A love hallucination"", ""Another lonely superstar To get away inside your car Take it much too far Surrender to the brave inside A lover that another tried Take it, too my ride"", ""You don't have to keep it if it's mine (Another lonely superstar to getaway inside your car) Another place maybe another time (Surrender to the brave inside a lover that another tried)"", ""Complete repeat Sitting in your car and on your street Lost in California Let's steal this wheel Take a spin to find out how we feel Just around the corner Slow down for sound Turn it up and no we can't be found The body that we transcend Asleep, you weep Find out that the trick is never cheap A melancholy girlfriend"", ""Another lonely superstar To get away inside your car Take it much too far Surrender to the brave inside A lover that another tried Take it, too my ride"", ""You don't have to keep it if it's mine (Another lonely superstar to getaway inside your car) Another place maybe another time (Surrender to the brave inside a lover that another tried)"", ""That's right you're right We will do our thing tonight, alright Drive the constellation It's time you're fine Just another color coded crime The song is fascination"", ""Another lonely superstar To get away inside your car Take it much too far Surrender to the brave inside The lover that another tried Take it, too my ride"", ""A May December might not be so smart (Another lonely superstar to getaway inside your car) Arrivals that we wish would not depart (Surrender to the brave inside a lover that another tried)"", ""Don't be late cause you're my savior Make it great whatever stays Golden gate my rearranger Hold my name inside your rays"""
15,falling into grace   ,"""What ever never knew that I could feel so good Smile in your eyes What ever never knew that I could walk through wood I guess I never tried"", ""A million years old but just a little girl Vibing off the gong Rubbing on the bowls, make you float around Make your loving strong"", ""And when we get in the same place At the same time, it is your grace That I want to fall right into now To love avow"", ""I'm falling into grace with you I'm falling into guru muhk I'm falling into grace with you I'm falling into guru muhk"", ""She moves in a rapture that her capsule might Land on your star Meditating in the morning, head dressed in white Beauty bazaar"", ""You can smell the purple light, coming from her heart Get lost and wet I treat you like a teacher 'cause that's what you are I wanna be your pet"", ""And when we get in the same place At the same time, it is your grace That I want to fall right into now To love avow"", ""I'm falling into grace with you I'm falling into guru muhk I said, I'm falling into grace with you I'm falling into guru muhk"", ""Om namah, Om gurudev namah, Om Om namah, Om gurudev namah, Om"", ""I'm falling into grace with you I'm falling into guru muhk I'm falling into grace with you I'm falling into guru muhk"", ""I'm falling into grace with you I'm falling into guru muhk, oh Lord I'm falling into grace with you, love you I'm falling into guru muhk"""
16,dreams of a samurai   ,"""Standing naked in your kitchen Feeling free that I could be alive Clearly I'm a contradiction Too young to be my wife"", ""A peaceful storm is never hectic Her mellow voice that I could be within The uniform is anorexic A jealous choice won't win"", ""A metamorphosis samurai Y'got a little lord fish and I don't know why I got a Metamorphosis samurai"", ""Paint your face cause I'm a black foot I thought I counted up the fireflies Close enough to get a good look Time to mobilize"", ""A metamorphosis samurai Y'got a little lord fish and I don't know why I got a Metamorphosis samurai"", ""I'm a lonely lad I've lost myself out on the range I don't remember much So don't ask me I've gone insane"", ""Taking acid in a graveyard Stealing food to keep the night alive Every day I try to play hard Even with my lies"", ""The day they found you on a tour bus The news was barren as a desert bone The tabloids made a kind of small fuss A couple pictures shown"", ""I'm a lonely lad I've lost myself out on the range I don't remember much So don't ask me I've gone insane"", ""Slowly turning into driftwood No one ever wants to die alone Thinking that a pretty gift could Make you less unknown"", ""Dirty sneakers on the pavement The brilliant features of a common man See the miracle of your life No one ever can"", ""I'm a lonely lad I've lost myself out on the range I don't remember much So don't ask me I've gone insane"", ""See the world go by The changes that we entertain I don't recall it all Remember I have gone insane"""
