,Song_name,shakira
0,dia de enero english   ,"""Te conoc\u00c3\u00ad un d\u00c3\u00ada de enero, con la luna en mi nariz Y como v\u00c3\u00ad que eras sincero En tus ojos me perd\u00c3\u00ad"", ""Que torpe distracci\u00c3\u00b3n Y que dulce sensaci\u00c3\u00b3n"", ""Y ahora que andamos por el mundo Como Eneas y Benitin Ya te encontre varios rasgu\u00c3\u00b1os Que te hicieron por ah\u00c3\u00ad"", ""Pero mi loco amor Es tu mejor doctor"", ""Voy a curarte el alma en duelo Voy a dejarte como nuevo Y todo va a pasar Pronto ver\u00c3\u00a1s el sol brillar"", ""T\u00c3\u00ba m\u00c3\u00a1s que nadie merecer ser feliz"", ""Ya vas a ver como van sanando Poco a poco tus heridas Ya vas a ver como va La misma vida a decantar la sal que sobra del mar"", ""Y aunque hayas sido un extranjero hasta en tu propio pa\u00c3\u00ads Si yo te digo \u00c2\u00bfqu\u00c3\u00a9 dices tu? Tu a\u00c3\u00ban dices \u00c2\u00bfque dec\u00c3\u00ads? Y lloras de emoci\u00c3\u00b3n oyendo un bandone\u00c3\u00b3n"", ""Y aunque parezcas despistado con ese caminar pausado Conozco la raz\u00c3\u00b3n que hace doler tu coraz\u00c3\u00b3n Por eso quise hacerte esta canci\u00c3\u00b3n"", ""Ya vas a ver como van sanando Poco a poco tus heridas Ya vas a ver como va La misma vida a decantar la sal que sobra del mar"""
1,hay amores en italiano   ,"""Ay, mi bien, \u00c2\u00bfqu\u00c3\u00a9 no har\u00c3\u00ada yo por ti? Por tenerte un segundo Alejados del mundo y cerquita de m\u00c3\u00ad"", ""Ay, mi bien, como el r\u00c3\u00ado Magdalena Que se funde en la arena del mar Quiero fundirme yo en ti"", ""Hay amores que se vuelven resistentes a los da\u00c3\u00b1os Como el vino que mejora con los a\u00c3\u00b1os As\u00c3\u00ad crece lo que siento yo por ti"", ""Hay amores que se esperan al invierno y florecen Y en las noches del oto\u00c3\u00b1o reverdecen Tal como el amor que siento yo por ti"", ""Ay, mi bien, no te olvides del mar Que en las noches me ha visto llorar Tantos recuerdos de ti"", ""Ay, mi bien, no te olvides del d\u00c3\u00ada Que separ\u00c3\u00b3 a tu vida De la pobre vida que me toc\u00c3\u00b3 vivir"", ""Hay amores que se vuelven resistentes a los da\u00c3\u00b1os Como el vino que mejora con los a\u00c3\u00b1os As\u00c3\u00ad crece lo que siento yo por ti"", ""Hay amores que parece que se acaban y florecen Y en las noches del oto\u00c3\u00b1o reverdecen Tal como el amor que siento yo por ti"", ""Yo por ti Por ti Como el amor que siento yo por ti"""
2,me enamore en ingles   ,"""La vida me empez\u00c3\u00b3 a cambiar La noche que te conoc\u00c3\u00ad Ten\u00c3\u00ada poco que perder Y la cosa sigui\u00c3\u00b3 as\u00c3\u00ad"", ""Yo con mis sost\u00c3\u00a9n a rayas Y mi pelo a medio hacer Pens\u00c3\u00a9: \""Este todav\u00c3\u00ada es un ni\u00c3\u00b1o\"" Pero, \u00c2\u00bfqu\u00c3\u00a9 le voy a hacer?"", ""Es lo que andaba buscando El doctor recomendando Cre\u00c3\u00ad que estaba so\u00c3\u00b1ando \u00c2\u00bfDe qu\u00c3\u00a9 me andaba quejando? No s\u00c3\u00a9 qu\u00c3\u00a9 estaba pensando Hoy pal cielo voy pateando"", ""Me enamor\u00c3\u00a9, me ena-na-namor\u00c3\u00a9 Lo vi solito y me lanc\u00c3\u00a9 Me ena-na-namor\u00c3\u00a9 Me ena-na-namo..."", ""Mira que cosa bonita Que boca m\u00c3\u00a1s redondita Me gusta esa barbita"", ""Y bail\u00c3\u00a9 hasta que me cans\u00c3\u00a9 Hasta que me cans\u00c3\u00a9 bail\u00c3\u00a9 Y me ena-na-namor\u00c3\u00a9 Nos enamoramos"", ""Un mojito, dos mojitos Mira que ojitos bonitos Me quedo otro ratito"", ""Contigo yo tendr\u00c3\u00ada 10 hijos Empecemos por un par Solamente te lo digo Por si quieres practicar"", ""Lo \u00c3\u00banico que estoy diciendo Vay\u00c3\u00a1monos conociendo Es lo que est\u00c3\u00a1 proponiendo"", ""Nos vamos entusiasmando Todo nos va resultando Qu\u00c3\u00a9 bien lo estamos pasando"", ""Me enamor\u00c3\u00a9, me ena-na-namor\u00c3\u00a9 Lo vi solito y me lanc\u00c3\u00a9 Me ena-na-namor\u00c3\u00a9 Me ena-na-namo..."", ""Mira que cosa bonita Que boca m\u00c3\u00a1s redondita Me gusta esa barbita"", ""Y bail\u00c3\u00a9 hasta que me cans\u00c3\u00a9 Hasta que me cans\u00c3\u00a9 bail\u00c3\u00a9 Me ena-na-namor\u00c3\u00a9 Nos enamoramos"", ""Un mojito, dos mojitos Mira que ojitos bonitos Me quedo otro ratito"", ""Nunca cre\u00c3\u00ad que fuera as\u00c3\u00ad \u00c2\u00bfC\u00c3\u00b3mo te fijar\u00c3\u00adas en m\u00c3\u00ad? Toda una noche lo pens\u00c3\u00a9 Este es pa' m\u00c3\u00ad, es pa' m\u00c3\u00a1s nadie Es-es pa' m\u00c3\u00ad, es pa' m\u00c3\u00a1s nadie Es-es pa' m\u00c3\u00ad, es pa' m\u00c3\u00a1s nadie Es-es-es pa' m\u00c3\u00ad, es pa' m\u00c3\u00a1s nadie"", ""Me enamor\u00c3\u00a9, me ena-na-namor\u00c3\u00a9 Lo vi solito y me lanc\u00c3\u00a9 Me ena-na-namor\u00c3\u00a9 Me ena-na-namo..."", ""Mira que cosa bonita Que boca m\u00c3\u00a1s redondita Me gusta esa barbita"", ""Y bail\u00c3\u00a9 hasta que me cans\u00c3\u00a9 Hasta que me cans\u00c3\u00a9 bail\u00c3\u00a9 Me ena-na-namor\u00c3\u00a9 Nos enamoramos"", ""Un mojito, dos mojitos Mira que ojitos bonitos Me quedo otro ratito"", ""Nunca cre\u00c3\u00ad que fuera as\u00c3\u00ad \u00c2\u00bfC\u00c3\u00b3mo te fijar\u00c3\u00adas en m\u00c3\u00ad? Toda una noche lo pens\u00c3\u00a9 Este es pa' m\u00c3\u00ad, es pa' m\u00c3\u00a1s nadie Es-es pa' m\u00c3\u00ad, es pa' m\u00c3\u00a1s nadie Es-es pa' m\u00c3\u00ad, es pa' m\u00c3\u00a1s nadie Es-es-es pa' m\u00c3\u00ad, es pa' m\u00c3\u00a1s nadie"""
3,fijacion oral   ,"""Tus gafas oscuras me hacen vibrar cada vez que te ocultan Tus gafas oscuras me hacen sentir que yo soy de otro lugar Y cuando me miras se encoje mi cuerpo y me hago chiquita Y cuando me miras me atrapa tu mundo y me siento distinta"", ""Tus gafas oscuras me hacen de poco, y no se lo que pasa Tus gafas oscuras intrigantes, misteriosas a cualquier uno impacta Y cuando me miras me quitas la vista y me robas el alma Detienes el tiempo, detienes mi miente y se acaba la calma Y solo las culpas las son de esas gafas oscuras"", ""Llevame, ocultame en tus gafas oscuras Que son -- que me mires ardiente Llevame, ocultame en tus gafas oscuras ayudame a hacer ilusion en mi mente"", ""Tus gafas oscuras me hacen de poco, y no se lo que pasa Tus gafas oscuras intrigantes, misteriosas a cualquier uno impacta Y cuando me miras me quitas la vista y me robas el alma Detienes el tiempo, con esta fijacion oral te atrapare."", ""Y solo las culpas las son de esas gafas oscuras Llevame, ocultame en tus gafas oscuras Que son --- que me mires ardiente Llevame, ocultame en tus gafas oscuras ayudame a hacer ilusion en mi mente [repite]"""
4,beautiful liar spanish   ,"""Ay, Ay, Ay Nobody likes being played Beyonce, Beyonce Shakira, Shakira (hey)"", ""He said I'm worth it, his one desire I know things about 'em that you wouldn't wanna read about He kissed me, his one and only, (yes) beautiful Liar Tell me how you tolerate the things that you just found out about You never know Why are we the ones who suffer I have to let go He won't be the one to cry"", ""(Ay) Let's not kill the Karma (Ay) Let's not start a fight (Ay) It's not worth the drama For a beautiful liar (Oh) let us laugh about it (Oh) It's not worth our time (Oh) We can live without 'em Just a beautiful liar"", ""I trusted him, but when I followed you, I saw you together I didn't know about you then 'till I saw you with him again I walked in on your love scene, slow dancing You stole everything, how can you say I did you wrong"", ""You never know When the pain and heartbreak's over I have to let go The innocence is gone"", ""(Ay) Let's not kill the Karma (Ay) Let's not start a fight (Ay) It's not worth the drama For a beautiful liar (Oh) let us laugh about it (Oh) It's not worth our time (Oh) We can live without 'em Just a beautiful liar"", ""Tell me how to forgive you When it's me who's ashamed And I wish could free you Of the hurt and the pain (Both) But the answer is simple He's the one to blame"", ""(Ay) Let's not kill the Karma (Ay) Let's not start a fight (Ay) It's not worth the drama For a beautiful liar (Oh) let us laugh about it (Oh) It's not worth our time (Oh) We can live without 'em Just a beautiful liar"""
5,alfonsina y el mar english   ,"""By the white sand that takes the sea her little footprit in the sand don't return anymore a footpath of sadness and silence came until deep water a footpath of silent sorrow came until the foam"", ""only God knows how desperate you were, how many pain lived in you to sleep tight in the chant of conches the song that it sang in the deep sea"", ""you're gone, Alfonsina, with your solitude What poems are you going to find? an old voice of the wind and salt breaks your heart and it's calling you and you go there like if you were dreaming Alfonsina, sea's dressed"", ""five mermaids will drive you by algaes and coralline roads and phosphorecent sea horses will enlace you the sea's habitants are going to play sooner with you get the lamp a Little more let me sleep in peace but if he call my name, don't tell him I'm here tell him that Alfonsina won't return but if he call my name, don't tell him never I'm here say him I'm gone"", ""You're gone, Alfonsina, with your solitude What poems are you going to find? an old voice of the winf and salt breaks your heart and it's calling you now, you're gone, like in dreams Alfonsina, sea's dressed"""
6,gracias a la vida voces unidas por chile   ,"""Gracias a la vida Voces unidas por Chile Gracias a la vida, que me ha dado tanto, me dio dos luceros, que cuando los abro, perfecto distingo lo negro del blanco, y en el alto cielo, su fondo estrellado, y en las multitudes, el hombre que yo amo."", ""Gracias a la vida, que me ha dado tanto, me ha dado el o\u00c3\u00addo, que, en todo su ancho, graba noche y d\u00c3\u00ada, grillos y canarios, martillos, turbinas, ladridos, chubascos, y la voz tan tierna de mi bien amado"", ""Gracias a la vida, que me ha dado tanto, me ha dado el sonido y el abecedario, con \u00c3\u00a9l, las palabras que pienso y declaro: madre, amigo, hermano y luz alumbrando la ruta del alma del que estoy amando."", ""Gracias a la vida, que me ha dado tanto, me ha dado la marcha de mis pies cansados; con ellos anduve ciudades y charcos, playas y desiertos, monta\u00c3\u00b1as y llanos, y la casa tuya, tu calle y tu patio."", ""Gracias a la vida, que me ha dado tanto, me dio el coraz\u00c3\u00b3n que agita su marco, cuando miro el fruto del cerebro humano, cuando miro al bueno tan lejos del malo, cuando miro al fondo de tus ojos claros."", ""Gracias a la vida, que me ha dado tanto, me ha dado la risa y me ha dado el llanto. As\u00c3\u00ad yo distingo, dicha de quebranto, los dos materiales que forman mi canto, y el canto de ustedes, que es el mismo canto, y el canto de todos, que es mi propio canto."", ""Gracias a la vida, que me ha dado tanto."""
7,la la la brazil 2014 en ingles   ,"""Essa bola vai rolar Mundo \u00c3\u00a9 um tapete verde Quando a bola chega l\u00c3\u00a1 Cora\u00c3\u00a7\u00c3\u00a3o fica na rede, na rede, na rede Ol\u00c3\u00a1! Ol\u00c3\u00a1!"", ""La la la la la La la la la la La la la la la la La la la La la la la la La la la la la La la la la la la I dare you"", ""Leggo Leggo Leggo Leggo"", ""Feel how the planet's become one Beats like a drum to the same rhythm Hear the whistle, kick the ball The entire world soars like an eagle"", ""In Rio we play like we dance Only today there's no tomorrow Leave all behind, in this place There's no space for fear or sorrow"", ""Is it true that you want it? Then act like you mean it With everyone watching It's truth or dare, can you feel it?"", ""La la la la la La la la la la La la la la la la La la la La la la la la La la la la la La la la la la la I dare you"", ""Leggo Leggo"", ""You have arrived, it's the place No more doubts, the time is coming Feel how the planet's become one Like a drum, destiny's calling"", ""German, Colombians, Spanish and French Off the bench, you gotta own it Down here we play like we dance It's Brazil, and now you know it"", ""Is it true that you want it? Then act like you mean it With everyone watching It's truth or dare, can you feel it?"", ""La la la la la La la la la la La la la la la la La la la La la la la la La la la la la La la la la la la I dare you"", ""Is it true that you want it? Then act like you mean it The whole world is watching It's truth or dare, can you feel it? Feel it, feel it, feel, feel..."", ""La la la la la La la la la la La la la la la la La la la La la la la la La la la la la La la la la la la I dare you"", ""Leggo Leggo Leggo Leggo"""
8,ciega sordamuda   ,"""Se me acaba el argumento y la metodolog\u00c3\u0083\u00c2\u00ada cada vez que se aparece frente a m\u00c3\u0083\u00c2\u00ad tu anatom\u00c3\u0083\u00c2\u00ada Porque este amor ya no entiende de consejos ni razones se alimenta de pretextos y le faltan pantalones Este amor no me permite estar en pie porque ya hasta me ha quebrado los talones aunque me levante, volver\u00c3\u0083\u00c2\u00a9 a caer si te acercas nada es \u00c3\u0083\u00c2\u00batil para esta in\u00c3\u0083\u00c2\u00batil Bruta, ciega, sordomuda torpe, traste, testaruda es todo lo que he sido por ti me he convertido en una cosa que no hace otra cosa m\u00c3\u0083\u00c2\u00a1s que amarte pienso en ti d\u00c3\u0083\u00c2\u00ada y noche y no se como olvidarte"", ""Cuantas veces he intentado enterrarte en mi memoria y aunque diga ya no m\u00c3\u0083\u00c2\u00a1s es otra vez la misma historia porque este amor siempre sabe hacerme respirar profundo ya me trae por la izquierda y de pelea con el mundo"", "" Si pudiera exorcizarme de tu voz si pudiera escaparme de tu nombre si pudiera arrancarme el coraz\u00c3\u0083\u00c2\u00b3n y esconderme para no sentirme nuevamente Bruta, ciega, sordomuda torpe, traste, testaruda es todo lo que he sido por ti me he convertido en una cosa que no hace otra cosa mas que amarte pienso en ti d\u00c3\u0083\u00c2\u00ada y noche y no se como olvidarte"", ""Ojerosa, flaca, fea, desgre\u00c3\u0083\u00c2\u00b1ada torpe, tonta, lenta, necia, desquiciada completamente descontrolada t\u00c3\u0083\u00c2\u00ba te das cuenta y no me dices nada ves que se me ha vuelto la cabeza un nido donde solamente t\u00c3\u0083\u00c2\u00ba tienes asilo y no me escuchas lo que te digo mira bien lo que vas a hacer conmigo"", ""Bruta, ciega, sordomuda torpe, traste, testaruda es todo lo que he sido por ti me he convertido en una cosa que no hace otra cosa m\u00c3\u0083\u00c2\u00a1s que amarte pienso en ti d\u00c3\u0083\u00c2\u00ada y noche y no se como olvidarte"""
9,just a girl en espanol   ,"""Eliminar esa l\u00c3\u00adnea rosa de mis ojos Me expongo Y no es una gran sorpresa \u00c2\u00bfCrees que no s\u00c3\u00a9 Exactamente donde tengo que estar Ese mundo est\u00c3\u00a1 forzando a m\u00c3\u00ad mismo Para mantener la mano Porque yo soy s\u00c3\u00b3lo una ni\u00c3\u00b1a, una ni\u00c3\u00b1a peque\u00c3\u00b1a No me dejes fuera de su visi\u00c3\u00b3n S\u00c3\u00b3lo soy una ni\u00c3\u00b1a, hermosa y delicada Entonces no me dejes con todo derecho Oh ... Y tolerado hasta el momento! En el momento en que sal\u00c3\u00ad de aqu\u00c3\u00ad Muchas razones existen Para m\u00c3\u00ad, correr y esconderse No se las arreglan para simplemente hacer las cosas peque\u00c3\u00b1as Yo hasta lo intent\u00c3\u00b3, querida Pero son esas peque\u00c3\u00b1as cosas Me temo que, por lo tanto soy s\u00c3\u00b3lo una ni\u00c3\u00b1a He preferido no ser Debido a ellas, ni las dejan ir Tarde en la noche Yo soy s\u00c3\u00b3lo una ni\u00c3\u00b1a Creo que estoy medio loco Debido a que todos se sientan y me miran Con los ojos Yo soy s\u00c3\u00b3lo una ni\u00c3\u00b1a Tome una buena mirada en m\u00c3\u00ad prototipo t\u00c3\u00adpico Oh ... Toler\u00c3\u00a9 aqu\u00c3\u00ad Oh ... estoy siendo lo suficientemente claro? Yo soy s\u00c3\u00b3lo una ni\u00c3\u00b1a Yo soy s\u00c3\u00b3lo una ni\u00c3\u00b1a en el mundo Todo lo que usted me deja ser! Yo soy s\u00c3\u00b3lo una ni\u00c3\u00b1a, que viven en cautiverio sus reglas Me preocupa \u00c2\u00bfSoy s\u00c3\u00b3lo una chica, que es mi destino? Lo que se ve obligado a hacer Me est\u00c3\u00a1 haciendo entumecido Yo soy s\u00c3\u00b3lo una ni\u00c3\u00b1a. Perd\u00c3\u00b3n Que es una bala Yo soy s\u00c3\u00b3lo una ni\u00c3\u00b1a. mis suministros No tiene ni comparaci\u00c3\u00b3n Oh ... Yo tolerado demasiado Oh ... Yo tolerado demasiado Oh ... Yo tolerado demasiado aqu\u00c3\u00ad"""
