,Song_name,linkin-park
1,when they come for me   ,"""I am not a pattern to be followed The pill that I'm on is a tough one to swallow I'm not a criminal, not a role model Not a born leader I'm a tough act to follow I am not the fortune and the fame Nor the same person telling you to forfeit the game I came in the ring like a dog on a chain And I found out the underbelly's sicker than it seems And it seems ugly but it can get worse 'Cause even a blueprint is a gift and a curse 'Cause once you got a theory of how the thing works Everybody wants the next thing to be just like the first And I'm not a robot I'm not a monkey I will not dance even if the beat's funky Opposite of lazy, far from a punk Ya'll ought to stop talking start trying to catch up motherfucker"", ""And all the people say Try to catch up motherfucker"", ""Lauryn said money change a situation Big said it increase the complication Kane said don't step, I ain't the one Chuck said that uzi weigh a motherfuckin' ton And I'm just a student of the game that they taught me Rockin' every stage in every place that it brought me I'm awfully underrated, but came here to correct it And so it ain't mistaken I'ma state it for the record I am the opposite of wack, opposite of weak Opposite of slack, synonym of heat Synonym of crack, closest to a peak Far from a punk Ya'll ought to stop talking, start trying to catch up motherfucker"", ""And all the people say Try to catch up motherfucker"", ""Oh, when they come for me Come for me I'll be gone Oh, when they come for me Come for me I'll be gone Oh, when they come for me Come for me I'll be gone"", ""And all the people say Try to catch up motherfucker And all the people say Try to catch up motherfucker"", ""\""Presten atencion todos, toda la gente preste atencion, escuchenme ahora mismo\"""""
2,castle of glass   ,"""Take me down to the river bend Take me down to the fighting end Wash the poison from off my skin Show me how to be whole again"", ""Fly me up on a silver wing Past the black where the sirens sing Warm me up in a nova's glow And drop me down to the dream below"", ""'Cause I'm only a crack in this castle of glass Hardly anything there for you to see For you to see"", ""Bring me home in a blinding dream Through the secrets that I have seen Wash the sorrow from off my skin And show me how to be whole again"", ""'Cause I'm only a crack in this castle of glass Hardly anything there for you to see For you to see"", ""'Cause I'm only a crack in this castle of glass Hardly anything else I need to be"", ""'Cause I'm only a crack in this castle of glass Hardly anything there for you to see For you to see For you to see"""
3,battle symphony one more light live   ,"""I got a long way to go And a long memory I been searching for an answer Always just out of reach"", ""Blood on the floor Sirens repeat I been searching for the courage To face my enemies When they turn down the lights"", ""I hear my battle symphony All the world in front of me If my armor breaks I'll fuse it back together Battle symphony Please just don't give up on me And my eyes are wide awake"", ""For my battle symphony For my battle symphony"", ""They say that I don't belong Say that I should retreat That I'm marching to the rhythm Of a lonesome defeat But the sound of your voice Puts the pain in reverse No surrender no illusions And for better or worse"", ""When they turn down the lights"", ""I hear my battle symphony All the world in front of me If my armor breaks I'll fuse it back together Battle symphony Please just don't give up on me And my eyes are wide awake"", ""If I fall get knocked down Pick myself up off the ground If I fall get knocked down Pick myself up off the ground"", ""When they turn down the lights"", ""I hear my battle symphony All the world in front of me If my armor breaks I'll fuse it back together Battle symphony Please just don't give up on me And my eyes are wide awake"", ""For my battle symphony For my battle symphony"""
4,high voltage original   ,"""Just do something to tell you who I am, ya know?"", ""Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh Uh"", ""[whispered] [It's high voltage you can't shake the shock Because nobody wants it to stop, check it out]"", ""It's high voltage you can't shake the shock  Because nobody wants it to stop, check it out  It's high voltage you can't shake the shock Because nobody wants it to stop, check it out"", ""It's high voltage you can't shake the shock  Because nobody wants it to stop, check it out  It's high voltage you can't shake the shock Because nobody wants it to stop, check it out"", ""I've been digging in the crates  Ever since I was living in space  Before the rat race  Before monkeys had human traits (hoo hoo) Mastered numerology  And big bang theology  Performed lobotomies  With telekinetic psychology  Invented the mic  So I could start blessin' it  And chincheckin kids to make my point  Like an impressionist  Many men have tried to shake us  But I twist mic cords  In double helixes  And show them what I'm made of  I buckle knees like leg braces  And cast a spell of intrumentalness on all of the emcees that hate us  So try on  Leave you without a shoulder to cry on  From now to infinity  Let icons be bygones  I fire bomb  Ghostly notes haunt this  I've tried threats  But moved on to a promise  I stomp shit  With or without an accomplice  Mix media  The stamp of approval that's on this "", ""It's high voltage you can't shake the shock  Because nobody wants it to stop, check it out  It's high voltage you can't shake the shock Because nobody wants it to stop, check it out"", ""Akira  Put a kink in the backbones  Of clones with microphones  Never satisfy my rhyme jones  Spraying bright day  Over what you might say  Blood type krylon technicolor type A  On highways write with road rage  On pages of wind  And cages of tin  That bounce all around  Surround sound  Devouring the scene  Subliminal gangrene paintings  Overall the same things  Sing song karaoke copy madness  Break bones verbally  With sticks and stone tactics  Fourth dimension  Combat convention  Write rhymes at ease  While the tracks stand at attention  Attention  Meant to put you away  With the pencil, pistol, official  16 line rhyme missile  While you risk your all  I pick out of your flaws  spittin' \""rah blah blah blah\""  You can say you saw "", ""It's high voltage you can't shake the shock  Because nobody wants it to stop, check it out  It's high voltage you can't shake the shock Because nobody wants it to stop, check it out"", ""It's high voltage you can't shake the shock  Because nobody wants it to stop, check it out  It's high voltage you can't shake the shock Because nobody wants it to stop, check it out"", ""It's high voltage you can't shake the shock  Because nobody wants it to stop, check it out  It's high voltage you can't shake the shock Because nobody wants it to stop, check it out"", ""It's high voltage you can't shake the shock  Because nobody wants it to stop, check it out  It's high voltage you can't shake the shock Because nobody wants it to stop, check it out"", ""This production has been brought to you courtesy of  Mixed Media Akira Mr. Hahn And Hybrid Theory..."""
5,the down syndrome   ,"""People turn around, people let you down Anywhere you go, anywhen you see It's real It's up to you to make it happen It's up to you to make it real"", ""And you know how it feels To beat some To need some And you know how it feels To beat some To need some"", ""Tell me what you know Tell me how you feel It doesn't matter when you're down When you look at me with your eyes That smile on your face it seems happy Are you happy?"", ""And you know how it feels To beat some To need some And you know how it feels To beat some To need some"", ""Yeah Yeah"", ""And you know how it feels To beat some To need some And you know how it feels To beat some To need some"""
6,points of authority live at milton keynes   ,"""Thank You Forfeit the game before somebody else takes you out of the frame and puts your name to shame cover up your face, you can't run the race the pace is too fast, you just won't last"", ""You love the way I look at you While taking pleasure in the awful things you put me through You take away if I give in My life, my pride, is broken"", ""You like to think you're never wrong (You live what you've learned) You have to act like you're someone (You live what you've learned) You want someone to hurt like you (You live what you've learned) You want to share what you've been through (You live what you've learned)"", ""You love the things I say I'll do The way I hurt myself again just to get back at you You take away when I give in My life, my pride, is broken"", ""You like to think you're never wrong (You live what you've learned) You want to act like you're someone (You live what you've learned) You want someone to hurt like you (You live what you've learned) You want to share what you've been through (You live what you've learned)"", ""Forfeit the game before somebody else takes you out of the frame and puts your name to shame cover up your face, you can't run the race the pace is too fast, you just won't last You like to think you're never wrong (You live what you've learned) You have to act like you're someone (You live what you've learned) You want someone to hurt like you (You live what you've learned) You want to share what you've been through (You live what you've learned)"", ""You like to think you're never wrong (Forfeit the game) (You live what you've learned) You want to act like you're someone (Forfeit the game) (You live what you've learned) You want someone to hurt like you (Forfeit the game) (You live what you've learned) You want share what you've been through (You live what you've learned)"""
7,a light that never comes   ,"""Nah, you don't know me Lightning above and a fire below me You can not catch me, can not hold me You can not stop, much less control me"", ""When it rains, it pours When the floodgates open, brace your shores That pressure don't care when it breaks your doors Say it's all you can take, better take some more"", ""'Cause I know what its like to test fate Had my shoulders pressed with that weight Stood up strong in spite of that hate"", ""The night gets darkest right before dawn What don't kill you makes you more strong And I've been waiting for it so long"", ""The nights go on Waiting for a light that never comes I chase the sun Waiting for a light that never comes"", ""Oh... Oh... Oh... Waiting for a light that never comes"", ""When I was young, they told me, they said Make your bed, you lie in that bed A King can only rein 'till instead There comes that day, it's off with his head"", ""The night gets darkest right before dawn What don't kill you makes you more strong You'll have my mercy, then when you're gone"", ""The nights go on Waiting for a light that never comes I chase the sun Waiting for a light that never comes"", ""Oh... Oh... Oh... Waiting for a light that never comes"", ""And I told them; nah you don't know me Lightning above and a fire below me You can not catch me, can not hold me You can not stop, much less control me"", ""When it rains, it pours When the floodgates open, brace your shores That pressure don't care, it breaks your doors Say it's all you can take, better take some more Oh... Oh... Oh... Waiting for a light that never comes! The nights go on Waiting for a light that never comes I chase the sun Waiting for a light that never comes Oh... Oh... Oh... Waiting for a light that never comes"""
8,victimized   ,"""No regret for the confidence betrayed No more hiding in shadow 'Cause I won't wait for the debt to be repaid Time has come for you Victimized Victimized Never again victimized Victimized Victimized Never again victimized They're acting like they want a riot, it's a riot I'll give 'em As the sound comes higher on this violent rhythm These snakes in the grass, supplying the venom I ain't scared of your teeth, I admire what's in 'em Keep 'em waiting in the shadows there, thinking they hidden But the truth is you don't have the stomach to get 'em Go on already, hit 'em! You gotta be kiddin' Wanna talk about a victim, I'ma put you there with 'em! Victimized Victimized Never again victimized Victimized Victimized Never again victimized (Raaah!)"""
9,leave out all the rest real one   ,"""I dreamed I was missing You were so scared But no one would listen 'Cause no one else cared After my dreaming I woke with this fear What am I leaving When I'm done here? So if you're asking me I want you to know When my time comes Forget the wrong that I've done Help me leave behind some Reasons to be missed And don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest, leave out all the rest Don't be afraid I've taken my beating I've shared what i've made I'm strong on the surface Not all the way through I've never been perfect But neither have you So if you're asking me I want you to know When my time comes Forget the wrong that I've done Help me leave behind some Reasons to be missed Don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest, leave out all the rest Forgetting all the hurt inside You've learned to hide so well Pretending someone else can come And save me from myself I can't be who you are When my time comes Forget the wrong that I've done Help me leave behind some Reasons to be missed Don't resent me And when you're feeling empty Keep me in your memory Leave out all the rest, leave out all the rest Forgetting all the hurt inside You've learned to hide so well Pretending someone else can come And save me from myself I can't be who you are I can't be who you are"""
10,roads untraveled   ,"""Weep not for roads untraveled Weep not for paths left alone 'Cause beyond every bend Is a long blinding end It's the worst kind of pain I've known"", ""Give up your heart left broken And let that mistake pass on 'Cause the love that you lost Wasn't worth what it cost And in time you'll be glad it's gone"", ""Woah-oo-oh-oh Woah-oo-oh-oh"", ""Weep not for roads untraveled Weep not for sights unseen May your love never end And if you need a friend There's a seat here alongside me"", ""Woah-oo-oh-oh Woah-oo-oh-oh"""
11,a place for my head   ,"""I watch how the moon sits in the sky in the dark night Shining with the light from the sun And sun doesn't give light to the moon assuming The moon's gonna owe it one It makes me think of how you act for me You do favors then rapidly You just turn around and start askin' me about Things that you want back from me"", ""I'm sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest"", ""I wanna be in another place I hate when you say you don't understand (You'll see it's not meant to be) I wanna be in the energy, not with the enemy A place for my head"", ""Maybe some day I'll be just like you And step on people like you do And run away all the people I thought I knew I remember back then who you were You used to be calm, used to be strong Used to be generous, you should have known That you'd wear out your welcome and now you see How quiet it is all alone"", ""I'm so sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest"", ""I'm so sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest"", ""I wanna be in another place I hate when you say you don't understand (You'll see it's not meant to be) I wanna be in the energy, not with the enemy A place for my head"", ""You try to take the best of me, go away"", ""I wanna be in another place I hate when you say you don't understand (You'll see it's not meant to be) I wanna be in the energy, not with the enemy A place for my head"", ""Shut up... what! I am so sick of the tension (Shut) Sick of the hunger Sick of you acting like I owe you this (Up) Find another place to feed your greed While I find a place to rest"", ""I'm so sick of the tension (What) Sick of the hunger Sick of you acting like I owe you this (Stay away from me) Find another place to feed your greed While I find a place to rest"""
12,let down   ,"""And the tears fall like rain Down my face again All the words you wouldn't say And the games you played With my unfoolish heart Oh I should have known this from the start"", ""Oh the winter and spring Going hand in hand Just like my love and pain How the thought of you cuts deep within the vein Brand new skin stretched across scared terrain"", ""I don't wanna be let down I don't wanna live that life again Don't wanna be lead down the same old road So I don't wanna be let down I don't wanna live my lies again Don't wanna be lead down the same old road"", ""Oh.."", ""All those years down the drain Love was not enough when you want everything What I gave to you and now the end must start Oh I should have listened to my heart"", ""'Cause I don't wanna be let down I don't wanna live that life again Don't wanna be lead down the same old road So I don't wanna be let down I don't wanna live my lies again Don't wanna be lead down the same old road"", ""Oh..."", ""I don't wanna be let down I don't wanna live that life again Don't wanna be lead down the same old road So I don't wanna be let down I don't wanna live my lies again Don't wanna be lead down the same old road"""
13,krwlng   ,"""Crawling in my skin... Without a sense of confidence... Consuming comfusing..."", ""Crawling in my skin... Without a sense of confidence I'm convienced that there just too much pressure to take There's something inside me that pulls beneath the surface..."", ""Crawling in my skin (Crawling in my skin) These wounds they will not heal"", ""(These wounds they will not heal) Fear is how I fall (Fear is how I fall) Confusing confusing what is real"", ""(Confusing what is real)"", ""There's something inside me that pulls beneath the surface Consuming c, c, confusing"", ""This lack of self-control I fear is never ending Controlling I can't seem To find myself again, my walls are closing in (Without a sense of confidence I'm convinced that there's just too much pressure to take)"", ""I've felt this way before so insecure"", ""Crawling in my skin These wounds they will not heal"", ""Fear is how I fall Confusing what is real Discomfort endlessly has pulled itself upon me Distracting, reacting Against my will I stand beside my own reflection"", ""It's haunting how I can't seem To find myself again My walls are closing in (Without a sense of confidence I'm convinced that there's just too much pressure to take)"", ""I've felt this way before, so insecure (Without a sense of confidence) (Without a sense of confidence) (Without a sense of confidence I'm convinced that there's just too much pressure to take) (Without a sense of confidence) (Without a sense of confidence) (Without a sense of confidence I'm convinced that there's just too much pressure to take) To find myself again My walls are closing in (Without a sense of confidence I'm convinced that there's just too much pressure to take) I've felt this way before, so insecure Crawling in my skin These wounds they will not heal Fear is how I fall Confusing what is real Crawling in my skin These wounds they will not heal Fear is how I fall Confusing, confusing what is real"""
