,Song_name,pearl-jam
0,ive got a feeling live   ,"""I've got a feeling. A feeling deep inside oh yeah. Oh, yeah. I've got a feeling. A feeling I can't hide oh no, no. Whoa, no. Yeah. Yeah, I've got a feeling, yeah."", ""Oh please believe me. I'd hate to miss the train oh yeah. Oh, yeah. Haha. Ooh, and if you leave me I won't be late again no no, no. Oh, no. Yeah. I've got a feeling. Yeah whew ooh oh yeah."", ""And I don't understand how come nobody told me. Why I'd want to sing like a Milli Vanilli? All I ever wanted was someone who looked like you. You, oh. I got a feeling that keeps me on my toes oh yeah yeah. Oh yeah. Uh huh. I got a feeling. I think that everybody knows, oh yeah, yeah. Oh yeah. Yeah, wow I got a feeling. Yeah, whoa."", ""Everybody had a good year though we never saw the sunshine. Everybody had a wet dream. Making Temple was a good time. Oh yeah. Oh yeah. Oh yeah."", ""Everybody made a movie. Everybody had one line. Everybody misses Andy. We'll be seeing him in no time. Oh yeah. Oh yeah. Oh yeah."", ""Ooh, yeah. I got a feeling, yeah. Oh. I got a feeling. A feeling deep inside oh yeah yeah. Oh yeah. Ooh, I got a feeling. A feeling I can't hide oh no no. Oh no. Yeah, I got a feeling. yeah yeah ah ooh yeah."""
1,dirty frank   ,"""agh woo eats meat eats meat hahaha look out"", ""Dirty Frank Dahmer he's a gourmet cook, yeah. I got a recipe for anglo-saxin soup, yeah. Wanted a pass. So she relaxed. Now the little groupie's getting chopped up in the back. I got a cupboard full of fleshy fresh ingredients A very careful at the same time quite expedient. Eats meat. A release. Bus driving's harder on your head than on your feet."", ""Dirty frank. A Dirty frank yeah A Dirty frank ooh A Dirty frank yea oh Keeps it clean. a keeps it copaseptic A little boys and girls their heads are all collected. A not crazy. a per se Just a little strange when he gets hungry. City state your town he will continue. A stadiums tiny clubs every venue. A his bus. a your trust. There goes another turned into crust. Dirty frank a Dirty Frank yeah. A Dirty frank. oh a Dirty Frank. Yeah, oh, watch it! now Why that dirty Frank was a bad mother... Shut your mouth! Hey man, I'm just talking about dirty Frank."", ""Oh wa-ha a yea cookoo there fucking crazy these kids are driving me crazy"", ""Oh, middle of the night we're stopped the freeway shoulder. A frank's shoveling to bury the leftovers. A they're sunk. He's drunk. Now he's gonna drive I'm hiding in my bunk. Oh. The band all knows. We're too afraid to mention. A Don't want to be part of Frank's luncheon. A lose weight. A be safe. Where's Mike McCready? My god he's been ate!"", ""Dirty frank. A Dirty Frank, yeah. A Dirty frank. Oh, a Dirty Frank, yeah, yeah, yeah, yeah, yeah, yeah. Dirty frank frank frank frank a Dirty frank yea Dirty frank oh a dirty frank a yea yea yea"", ""Wa yea a yea yea yea yea oh he's gone fruit loops it's the perfect job"", ""Cook 'em just to see the look on their face. I cook 'em just to see the look on their face. [x10]"", ""Mommy mommy I'll just sing mommy no no ahh Why"", ""Why that dirty Frank was a bad mother... Shut your mouth! Hey man, I'm just talking about dirty Frank. Yeah."", ""Dirty Frank wow a Dirty Frank a dirty frank yeah"", ""Why that dirty Frank was a bad mother... Shut your mouth! Hey man, I'm just talking about dirty Frank. Woo."", ""A Dirty Frank. Yeah, a dirty frank. [x2] Dirty frank. [x8]"", ""Wo Ok I think that's enough"""
2,ive got a feeling   ,"""I've got a feeling. A feeling deep inside oh yeah. Oh, yeah. I've got a feeling. A feeling I can't hide oh no, no. Whoa, no. Yeah. Yeah, I've got a feeling, yeah."", ""Oh please believe me. I'd hate to miss the train oh yeah. Oh, yeah. Haha. Ooh, and if you leave me I won't be late again no no, no. Oh, no. Yeah. I've got a feeling. Yeah whew ooh oh yeah."", ""And I don't understand how come nobody told me. Why I'd want to sing like a Milli Vanilli? All I ever wanted was someone who looked like you. You, oh. I got a feeling that keeps me on my toes oh yeah yeah. Oh yeah. Uh huh. I got a feeling. I think that everybody knows, oh yeah, yeah. Oh yeah. Yeah, wow I got a feeling. Yeah, whoa."", ""Everybody had a good year though we never saw the sunshine. Everybody had a wet dream. Making Temple was a good time. Oh yeah. Oh yeah. Oh yeah."", ""Everybody made a movie. Everybody had one line. Everybody misses Andy. We'll be seeing him in no time. Oh yeah. Oh yeah. Oh yeah."", ""Ooh, yeah. I got a feeling, yeah. Oh. I got a feeling. A feeling deep inside oh yeah yeah. Oh yeah. Ooh, I got a feeling. A feeling I can't hide oh no no. Oh no. Yeah, I got a feeling. yeah yeah ah ooh yeah."""
3,breakerfall   ,"""There's a girl on a ledge she's got nowhere to turn 'Cause all the love that she had was just wood that she burned Now her life is on fire, it's no one's concern She can blame the world or pray till dawn"", ""But only love can break her fall Break her fall Yeah, only love can break her fall, fall"", ""It's like she lost her invitation to the party on earth And she's standing outside hating everyone here Yeah, she's her own disease, crying to her doll"", ""But only love can break her fall Break her fall Only love can break her fall, yeah"", ""Yeah fall The world is her fall, break her fall Love, love, love can break her fall Now only love can break her fall Love, love, can break her fall, fall Love, love can break her fall Only love can break her"""
4,buhleaguer   ,"""How does he do it? How do they do it? Uncanny and immutable This is such a happening tailpipe of a party Like sugar, the guests are so refined"", ""A confidence man, but why so beleaguered? He's not a leader, he's a Texas leaguer Swinging for the fence, got lucky with a strike Drilling for fear makes the job simple Born on third, thinks he got a triple"", ""Blackout weaves its way through the cities Blackout weaves its way through the cities Blackout weaves its way"", ""I remember when you sang That song about today Now it's tomorrow and Everything has changed"", ""A think tank of aloof multiplication A nicotine wish and a columbus decanter Retrenchment and hoggishness The aristocrat choir sings \""What's the ruckus?\"" The haves have not a clue The immenseness of suffering And the odd negotiation, a rarity With onion-skin plausibility of life And a keyboard reaffirmation"", ""Blackout weaves its way through the cities Blackout weaves its way through the cities Blackout weaves its way"", ""I remember when you sang That song about today Now it's tomorrow and Everything has changed."""
5,smile   ,"""Don't it make you smile? Don't it make you smile? When the sun don't shine? (It don't shine at all)"", ""Don't it make you smile? Don't it make you smile? Don't it make me smile? When the sun don't shine, it don't shine at all"", ""Don't it make me smile? I miss you already I miss you always"", ""I miss you already I miss you all day"", ""This is how I feel I miss you already I miss you always Three crooked hearts and swirls all around I miss you all day"""
6,alone   ,"""Wide awake and he shakes in a panic never woke up alone ever before had his woman long as he can remember tries to forget, but he can't, he can't... out of bed and he dreams in the shower she's standing naked and apologizing reaches for her `till his mind becomes blood hot woken up to be burned, burned, again... go it alone you got it, so it goes i wanna breathe and i said i can't take it any other way On the streets he's walkin', wounded doesn't smile for the child at play thoughts of suicide and alleviation anything to get his heart off of the coals does he fly away or just talk about it like a seagull born to cry in the wind all experiences lead to a young girl alone you will meet the one who lies in wait go it alone you got it, so it goes try to breathe, but you can't you can't take it any other way, yeah, yeah... ...myself, don't talk to me i can help myself, don't talk to me i can help myself, myself i can help myself, don't talk to me (3x) i can help myself, myself... ...myself, don't talk to me i can help myself Wide awake and he shakes in a panic never woke up alone ever before had his woman long as he can remember tries to forget, but he can't, he can't, he can't, he can't..."""
7,superblood wolfmoon   ,"""Superblood Wolfmoon Took her away too soon Superblood Wolfmoon"", ""Took her away too soon"", ""I can hear you singin' in the distance I can see you when I close my eyes Once, you were somewhere and now you're everywhere I'm feeling selfish and I want what's right I ask for forgiveness I beg of myself Feeling every night that I see"", ""Right now I feel a lack of innocence Searchin' for reveal hypnotonic residence I feel not much of anything And the cause is life or death A life of hopelessness, focus on you focusness I've been hopin' and I hope that lasts I don't know anything, I question everything This life I love is going way too fast"", ""Both my eyes are swollen, my face is broken And I'm hope that I hurt you Hope that I hurt you Hope that I hurt you"", ""She was a stunner and I am stunned And the first thought or second thought \""could be the one\"" I was a prisoner of keys and the cuffs Yeah, I was feeling fortunate to be locked up"", ""But the world got to spinnin' Always felt like it was endin' And love right, it was standin' We are each of us"", ""I can hear you singin' in the distance I can see you when I close my eyes Once, you were somewhere and now you're everywhere I'm feeling selfish and I want what's right"", ""I ask for forgiveness I beg of myself Feelin' angry Now, get off the stage"", ""Superblood Wolfmoon Took her away too soon Superblood Wolfmoon Took her away too soon Superblood Wolfmoon Took her away too soon"", ""I can hear you singin' in the distance I can see you when I close my eyes Once, you were somewhere and now you're everywhere I'm feeling selfish and I want what's right Focus on you focusness, turn around for hopelessness I've been hopin' and all hope was lost I don't know anything, I question everything This life I love is going way too fast"""
8,crown of thorns   ,"""You ever hear the story of Mr. Faded Glory? Say he who rides a pony must someday fall I've been talkin' to my alter, says \""Life is what you make it And if you make it death well rest your soul away, away, away\"""", ""It's a broken kind of feeling, she'd have to tie me to the ceiling A bad moon's comin', better say your prayers I wanna tell her that I love her, but does it really matter? I just can't stand to see you dragging down again, again, again"", ""So I'm singing, oh this is my kinda love It's the kind that moves on It's some kind that leaves me alone, you know Oh this is my kinda love It's the kind that moves on It's the kind that leaves me alone"", ""I used to treat you like a lady, now you're my substitute teacher This bottle's not a pretty, not a pretty sight I owe the man some money, so I'm turnin over honey Yes, Mr. Faded Glory is once again doin' time, yeah"", ""This is my kinda love It's the kind that moves on It's the kind that leaves me alone Now this is my kinda love It's the kind that moves on It's the kind that, it's the kind that"", ""Leaves me alone Like a crown of thorns It's all who you know So don't burn your bridges, woman 'Cause someday, yeah"", ""So I'm singing This is my kinda love It's the kind that moves on It's the kind that leaves you alone, yeah This is my kinda love It's the kind that moves on It's the kind that, kind that leaves me alone"", ""Like a crown of thorns It's all who you know Come on, come on, come on Don't burn your bridges, woman"""
9,daughter   ,"""Alone, listless Breakfast table in an otherwise empty room Young girl, violins Center of her own attention The mother reads aloud child tries to understand it tries to make her proud The shades go down it's in her head, painted room. can't deny there's something wrong"", ""Don't call me daughter, not fit to the picture kept will remind me Don't call me daughter, not fit to the picture kept will remind me Don't call me..."", ""She holds the hand that holds her down She will rise above..."", ""Don't call me daughter, not fit to the picture kept will remind me Don't call me daughter, not fit to me the picture kept will remind me Don't call me daughter, not fit to the picture kept will remind me Don't call me daughter, not fit to me the picture kept will remind me Don't call me..."", ""The shades go down The shades go down The shades go... Go... Go..."""
10,low light   ,"""clouds roll by reeling is what they say ... or is it just my way? wind blows by ... low light ... sidetracked ... low light can't see my tracks, your scent way back"", ""can I be here all alone? ... clear a path to my home blood runs dry ... books and jealousy tell me wrong I will feel calm voice blows by ... low light ... car crash ... low light can't wear my mask, your first, my last"", ""voice blows by two birds is what they'll see ... getting lost upon their way wind blows by ... low light ... eye sight ... low light I need the light, I'll find my way from wrong what's real, the dream I see"""
11,all night   ,"""got all night plenty of time take these chains from my eyes so alive getting pride take her down before you die"", ""right be satisfied we've got all night"", ""is he here top of the stairs no place for the president build some fears slip outside fuck, be content to just get by"", ""why be satisfied we've got all night"", ""ahhh scream and wail see who cares scream and wail see who cares life has nothin' to do with killin' time oh well right, be satisfied we've got all night we've got all night we've got all night"""
12,in thin air   ,"""Pearl Jam Miscellaneous In Thin Air \""On the last time you've got your new parachutes, or a new bike or new clothes or something. Sometimes you got something new you just, you can't wait to... to use it. So we're ... are gonna try a couple... At least one new song. Yeh, we can't wait to try it out, so. Another for you.\"""", ""There's a light, when my baby's in my arms There's a light, when the window shades are drawn Hesitate when I feel I may do harm to her Wash it off cause this feeling we can share"", ""And I know she's reached my heart in thin air."", ""Byzantine is reflected in our pond There's a cloud, but the water remains calm Reaching in the suns fingers clutch the dawn to pass Even out, it's a precious thing to bear"", ""And I know she's reached my heart in thin air Yes, I know she's reached my heart in thin air"", ""It's not in my past to presume Love can keep on moving in both directions How to be happy and true Is the quest we're taking on together"", ""Take it on, on, on, on, on Take it on, on, on, on, on..."", ""There's a light when my baby's in my arms"", ""And I know she's reached my heart in thin air And I know she's reached my heart in thin air And I know she's reached my heart in thin air Yes, I know she's reached my heart"""
13,chinese   ,
14,wma   ,"""[Inaudible]"", ""He won the lottery, when he was born Took his mother's white breast to his tongue Trained like dogs, color and smell Walks by me to get to him"", ""Police man, police man"", ""[Inaudible]"", ""He won the lottery, by being born Big hand slapped a white male American Do no wrong, so clean cut Dirty his hands, it comes right off"", ""Police man, police man"", ""Police stopped my brother again Police stopped my brother again Police stopped my brother again"", ""Police man, police man"", ""Jesus greets me, looks just like me"", ""Do no wrong, so clean cut Dirty his hands, it comes right off"", ""Police man, police man, police man"", ""Police stopped my brother again Police stopped my brother again Police stopped my brother again"", ""Police man, police man"", ""Police stopped my brother again Police stopped my brother again Police stopped my brother again"", ""Police man, police man, police man"", ""All my pieces set me free All my pieces set me free All my pieces set me free All my pieces set me free"", ""Human devices set me free Human devices set me free All my pieces set me free All my pieces set me free"", ""Human devices set me free Human devices set me free"""
15,faithfull   ,"""Plaque on the wall says that no one's slept here It's rare to come upon a bridge that has not been around Or been stepped on Whatever the notions, we laced in our prayers The man upstairs is used to all of this noise I'm through with screaming"", ""And echoes nobody hears, it goes, it goes, it goes Like echoes nobody hears, it goes, it goes, it goes We're faithful, we all believe, we all believe it (4X)"", ""And echoes nobody hears, it goes, it goes, it goes (2X) We're faithful, we all believe, we all believe it (3X) So faithful, we all believe, we all believe it"", ""M.Y.T.H. is Belief in the game controls that keeps us in a box of fear We never listen Voice inside so drowned out Drowned you are, you are, you are everything And everything is you Me you, you me, it's all related What's a boy to do? Just be darling and I will be too Faithful to you"""
16,black   ,"""Sheets of empty canvas, untouched sheets of clay Were laid spread out before me, as her body once did All all five horizons, revolved around her soul... As the Earth to the Sun Now, the air I tasted and breathed has taken a turn"", ""Ooh, and all I taught her was... everything Ooh, I know she gave me all... that she wore And now my bitter hands, chafe beneath the clouds of what was everything All the pictures have all been washed in black Tattooed everything"", ""I take a walk outside I'm surrounded by some kids at play I can feel their laughter, so why do I sear?"", ""Mmm, and twisted thoughts that spin around my head I'm spinning, oh, I'm spinning How quick the Sun can drop away And now my bitter hands cradle broken glass... of what was everything All the pictures have, all been washed in black Tattooed everything"", ""All the love gone bad, turned my world to black Tattooed all I see, all that I am, all that I'll be, yeah"", ""I know that someday you'll have a beautiful life, I know you'll be a star In somebody else's sky... But why, why, why can't it be... can't it be mine? Ah, yeah"""
17,comatose   ,"""Consider me an object Put me in a vacuum Free of all conditions Free of air and friction"", ""Yeah, I'll be hanging upside down And there I will swing for all eternity"", ""Feel it rising Yeah, next stop falling Feel it rising Comatose, with no fear of falling"", ""Consider me an abscess Leave me in my vacuum Blood on all the pistons Running my transmission"", ""Feel it rising Yeah, next stop falling Feel it rising Comatose, with no fear of falling"", ""Feel it rising Yeah, next stop falling Feel it rising"", ""High above, I'll break the law If it's illegal to be in love Leave the hatred on the cross"", ""Yeah, I'll be hanging upside down And here I will swing for all eternity"", ""Feel it rising Yeah, next stop falling Feel it rising Comatose, with no fear of falling"", ""Feel it rising Yeah, next stop falling Feel it rising Something never thought you'd be part of"""
18,parting ways   ,"""Behind her eyes there's curtains And they've been closed to hide the flames, remains She knows their future's burning But she can smile just the same, same"", ""And though her mood is fine today There's a fear they'll soon be parting ways"", ""Standing like a statue A chin of stone, a heart of clay, hey"", ""And though he's too big a man to say There's a fear they'll soon be parting ways"", ""Drifting away, drifting away, drifting away, away Drifting away, drifting away, drifting away, away"""
19,mad season jam session   ,
20,push me pull me   ,"""I had a false belief; I thought I came here to stay. We're all just visiting, all just breaking like waves. The oceans made me, but who came up with love? Push me, pull me, push me, but pull me out."", ""So if there were no angels would there be no sin? You better stop me before I begin. But let me say: If I behave, can you arrange a spacious hole in the ground? Somewhere nice, make it nice Where the land meets high tide. Push me, pull me, or pull me out."", ""Like a cloud dropping rain I'm discarding all thought. I'll dry up leaving puddles on the ground. I'm like an opening band for the sun. Push me, pull me, or just pull me out out out . I've had enough, said enough, felt enough, I'm fine."""
21,walking the cow   ,
22,insane   ,"""Fuck me in the brain (X2) You fuckin' little cunt You're drivin' me insane Fuck me in the brain (X2) You're drivin' me, drivin' me insane"", ""Fuck me in my life...hah... You wanted to be my wife,huh,huh,hah... Fuck me in my brain,fuck... I may be a... I don't believe nothin',even if it's true,no..."", ""Fuck me,fuck me,in my brain Fuck me,my ears are open,in my brain Fuck me"", ""You think I care 'Bout those emotions you wear You think I care 'Bout the way you wear your veil You think our love,huh Is so far above...oh... Fuck me (X7)"""
23,all or none   ,"""It's a hopeless situation And I'm starting to believe That this hopeless situation Is what I'm trying to achieve"", ""But I try to run on It's all or none All or none"", ""Here's the selfless confession Leading me back to war Can we help that our destinations Are the ones we've been before?"", ""I still try to run on But it's all or none All or none"", ""To myself I surrender To the one I'll never please But I still try to run on Oh, I still try to run on But it's all or none All or none"""
24,parachutes   ,"""Why deny all the troubles when combined With the missing links, it don't feel like home now That you're gone, all the troubles suddenly explained infinitum You're always wishing and never here at home, you"", ""All the dreams we shared and lights we turned on But the house is getting dark And I don't want to know your past But together share the dawn"", ""And I won't need nothing else 'cause when we're dead We would've had it all And I wouldn't falling from the sky, tell you Parachutes have opened now"", ""Heaven knows if there's a ceiling Come so low with the kneeling Please know that, that I got All the friends I'm needing, before my lights go out As the doors are closing now And far away will be my home And to grasp this, I don't know"", ""But I don't need Further back and forth, a wave will break on me today And love Wish the world could glow again with love One can't seem to have enough"", ""And war Break the sky and tell me what it's for I'll travel there on my own And love What a different life Had I not found this love with you"""
25,why go   ,"""She scratches a letter, into a wall made of stone Maybe someday another child, won't feel as alone as she does... It's been two years and counting Since they put her in this place She's been diagnosed, by some stupid fuck And mommy agrees, yeah Why go home, why go home, why go home? She seems to be stronger But what they want her to be... is weak She could play pretend, she could join the game, boy"", ""She could be another clone Oh, uh, ah yeah"", ""Why go home, why go home, why go home, why go home?"", ""What you taught me (Why go home?) Put me here (Why go home?) Don't come visit (Why go home?) Mother, sing it (...) Why go home, why go home, why go home, why go home? What you taught me (Why go home?)"", ""Put me here (Why go home?) Don't come visit (Why go home?) Mother, Mother, yeah Why go home, why go home, why go home, why go home?"""
26,ole   ,
27,mfc mini fast car   ,"""Sliding out of reverse into drive, this Wheel will be turning right, then straight Off in the sunset she'll ride She can remember a time denied Stood by the side of the road, spilled like wine now She's out on her own and I'm high"", ""There's no leaving here Ask- I'm an ear She's disappeared"", ""They said that timing was everything Made him want to be everywhere There's a lot to be said for nowhere"", ""There's no leaving here Ask- I'm an ear He's disappeared There's no leaving here Ask- I'm an ear Fuck it- we've disappeared"""
28,hunger strike   ,"""Well I don't mind stealing bread From the mouths of decadents But I can't feed on the powerless When my cup's already overfilled"", ""Yeah But it's on the table The fire's cooking And they're farming babies The slaves are all working"", ""Blood is on the table The mouths are all choking But I'm goin' hungry Yeah"", ""I don't mind stealing bread From the mouths of decadents But I can't feed on the powerless When my cup's already overfilled"", ""But it's on the table The fire is cooking And they're farming babies The slaves are all working"", ""And it's on the table Their mouths are all choking But I'm going hungry (Going hungry) I'm going hungry (Going hungry) I'm going hungry (Going hungry)"""
29,moline   ,"""[Verse 1:] I knew there was trouble So I left Detroit I left my old man For a plane full of boys For did he leave me that son of a b***h Keith, yeah home after dawn Always smelling like pig He took my share and still didn't care Probably would have killed me if I had stayed there But I had a scheme so cool and so clean I got me a ticket one way to Moline"", ""[Chorus:] Moline, Moline, How have you been? Been here before, But it must have been a dream Moline, you see, All rivers turn green The Mississippi rises and widens the sea Moline, it seems that this is for me My name is Nancy but here I'm Coleen Yeah, Moline"", ""[Verse 2:] Now I love paying ransom Life on my own, Yeah anything's better than That bastard's home And someday I'll buy and look in our [?] I got my eye in the Quad Cities, yeah here in Moline The place with the chapel on 4th Avenue and 12th Street"", ""[Chorus:] Moline, Moline, How have you been? I probably been here before, But it must've been a dream Moline, you see All rivers turn green The Mississippi rises and widens the sea Moline, it seems that this is for me You call me Nancy and I live in Moline"""
30,deep   ,"""On the edge Windowsill Ponders his maker Ponders his will To the street below He just ain't nothin' But he's got a great view And he sinks a needle deep"", ""Can't touch the bottom In too deep Can't touch the bottom"", ""On the edge of a Know-nothing town Feeling quite superior The aged come To the sky above He just ain't nothin' But he's got a great view And he sinks a burning knife deep"", ""Can't touch the bottom In too deep, yeah Uh-huh, can't touch the bottom In too deep"", ""On the edge of a Christmas clean love Young virgin from Heaven Visiting To the man above her She just ain't nothing But she doesn't like the view She doesn't like the view She doesn't like the view But he sinks himself deep"", ""Can't touch the bottom In too deep, hey Can't touch the bottom, can't touch the bottom Deep"", ""Can't, oh, touch the bottom Can't, oh, touch the bottom Can't, oh, touch the bottom Can't, oh, touch the bottom Can't, oh, touch the bottom Can't, oh, touch the bottom, yeah Oh"""
31,who you are   ,"""Come to send, not condescend Transcendental consequence Is to transcend where we are Who are we, who we are Trampled moss on your soul Changes all, you're apart Seen it all, not at all Can't defend, fucked up, man"", ""Take me for a ride before we leave Circumstance, clapping hands Driving winds, happenstance Off the track, in the mud That's the moss in the aforementioned verse"", ""Just a little time, before we leave Stoplight plays its part So I would say you've got a part What's your part? Who you are You are who, who you are"""
32,take the long way   ,
33,wishlist   ,"""I wish I was a neutron bomb For once I could go off I wish I was a sacrifice But somehow still lived on"", ""I wish I was a sentimental Ornament you hung on The Christmas tree, I wish I was The star that went on top"", ""I wish I was the evidence I wish I was the grounds For fifty million hands up raised And opened toward the sky"", ""I wish I was a sailor with Someone who waited for me I wish I was as fortunate As fortunate as me"", ""I wish I was a messenger And all the news was good I wish I was the full moon shining Off a Camaro's hood"", ""I wish I was an alien At home behind the sun I wish I was the souvenir You kept your house key on"", ""I wish I was the pedal break That you depended on I wish I was the verb to trust And never let you down"", ""I wish I was the radio song The one that you turned up I wish, I wish, I wish, I wish I guess it never stops"""
34,no way   ,"""Here's a token of my openness Of my need to not disappear How I'm feeling, so revealing to me I found my mind too clear I just need someone to be there for. me I just want someone to be there for. me"", ""All the static in my Attica Shoots down my sliding door To the ocean of my platitudes Longitudes, latitudes, it's so absurd I just need someone to be there for. I just want someone to be there for. Someone to be there for"", ""I'll stop trying to make a difference I'm not trying to make a difference I'll stop trying to make a difference No way"", ""'Cause I'll stop trying to make a difference I'm not trying to make a difference I'm not trying to make a difference No way"", ""Ooh, let's call in an angel Ooh, let's call in an angel Ooh, let's call in an angel"", ""'Cause I'll stop trying to make a difference I'm not trying to make a difference I'll stop trying to make a difference No way"", ""'Cause I'll stop trying to make a difference I'm not trying to make a difference I'll stop trying to make a difference No way, no way"", ""Let's call me an angel Who's calling me an angel?"""
