         67906 function calls (65151 primitive calls) in 0.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    174/1    0.001    0.000    0.573    0.573 {built-in method builtins.exec}
        1    0.003    0.003    0.573    0.573 mandelbrot.py:6(<module>)
    202/8    0.002    0.000    0.326    0.041 <frozen importlib._bootstrap>:978(_find_and_load)
    202/8    0.001    0.000    0.325    0.041 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    192/8    0.001    0.000    0.321    0.040 <frozen importlib._bootstrap>:663(_load_unlocked)
    162/8    0.001    0.000    0.321    0.040 <frozen importlib._bootstrap_external>:722(exec_module)
    288/8    0.000    0.000    0.318    0.040 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.270    0.270 __init__.py:106(<module>)
        1    0.011    0.011    0.229    0.229 mandelbrot.py:24(draw_mandelbrot)
   343/19    0.000    0.000    0.221    0.012 {built-in method builtins.__import__}
   915/84    0.001    0.000    0.221    0.003 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       99    0.110    0.001    0.215    0.002 mandelbrot.py:17(calculate)
        7    0.001    0.000    0.133    0.019 __init__.py:1(<module>)
      162    0.003    0.000    0.119    0.001 <frozen importlib._bootstrap_external>:793(get_code)
       99    0.104    0.001    0.105    0.001 mandelbrot.py:10(get_next_iter)
      162    0.028    0.000    0.083    0.001 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.059    0.059 __init__.py:197(_sanity_check)
        1    0.059    0.059    0.059    0.059 {method 'dot' of 'numpy.ndarray' objects}
      162    0.055    0.000    0.055    0.000 {method 'read' of '_io.FileIO' objects}
  192/189    0.000    0.000    0.053    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
    25/23    0.000    0.000    0.046    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
    25/23    0.043    0.002    0.046    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.042    0.042 Image.py:1917(save)
      199    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        1    0.000    0.000    0.037    0.037 __init__.py:7(<module>)
      194    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      194    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      358    0.004    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.027    0.027 Image.py:374(preinit)
      162    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        2    0.000    0.000    0.025    0.012 __init__.py:45(<module>)
      162    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.024    0.024 multiarray.py:7(<module>)
        1    0.000    0.000    0.023    0.023 overrides.py:1(<module>)
      787    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      788    0.020    0.000    0.020    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.019    0.019 npyio.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _distributor_init.py:10(<module>)
        1    0.000    0.000    0.017    0.017 Image.py:30(<module>)
        1    0.000    0.000    0.016    0.016 _datasource.py:35(<module>)
        1    0.000    0.000    0.015    0.015 index_tricks.py:1(<module>)
        1    0.000    0.000    0.015    0.015 shutil.py:5(<module>)
        1    0.000    0.000    0.015    0.015 PngImagePlugin.py:733(_save)
        1    0.000    0.000    0.015    0.015 ImageFile.py:465(_save)
        1    0.014    0.014    0.014    0.014 {method 'encode' of 'ImagingEncoder' objects}
      247    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      267    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.014    0.014 _distributor_init.py:17(__enter__)
        1    0.000    0.000    0.013    0.013 utils.py:4(<module>)
        2    0.000    0.000    0.013    0.006 __init__.py:15(<module>)
  381/378    0.007    0.000    0.012    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.012    0.012 JpegImagePlugin.py:35(<module>)
        1    0.000    0.000    0.012    0.012 tempfile.py:24(<module>)
        1    0.000    0.000    0.011    0.011 numeric.py:1(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:10(<module>)
        1    0.000    0.000    0.011    0.011 random.py:38(<module>)
        1    0.000    0.000    0.010    0.010 TiffImagePlugin.py:42(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:3(<module>)
        1    0.000    0.000    0.009    0.009 py3k.py:4(<module>)
        1    0.000    0.000    0.008    0.008 bz2.py:5(<module>)
      133    0.000    0.000    0.008    0.000 re.py:271(_compile)
       22    0.000    0.000    0.008    0.000 sre_compile.py:759(compile)
       23    0.000    0.000    0.008    0.000 re.py:232(compile)
        1    0.000    0.000    0.008    0.008 case.py:1(<module>)
