,time,customer_no,location,min_spent
0,2020-04-08 07:00:00,1,spices,0 days 00:02:00.000000000
1,2020-04-08 07:00:00,1,fruit,0 days 00:02:00.000000000
2,2020-04-08 07:00:00,1,dairy,0 days 00:07:00.000000000
3,2020-04-08 07:00:00,1,fruit,0 days 00:07:00.000000000
4,2020-04-08 07:00:00,1,checkout,0 days 00:00:00.000000000
5,2020-04-08 07:03:00,2,spices,0 days 00:01:00.000000000
6,2020-04-08 07:03:00,2,dairy,0 days 00:04:00.000000000
7,2020-04-08 07:03:00,2,checkout,0 days 00:00:00.000000000
8,2020-04-08 07:07:00,3,dairy,0 days 00:12:00.000000000
9,2020-04-08 07:07:00,3,checkout,0 days 00:00:00.000000000
10,2020-04-08 07:13:00,4,dairy,0 days 00:01:00.000000000
11,2020-04-08 07:13:00,4,checkout,0 days 00:00:00.000000000
12,2020-04-08 07:17:00,5,drinks,0 days 00:02:00.000000000
13,2020-04-08 07:17:00,5,checkout,0 days 00:00:00.000000000
14,2020-04-08 07:25:00,6,dairy,0 days 00:01:00.000000000
15,2020-04-08 07:25:00,6,spices,0 days 00:01:00.000000000
16,2020-04-08 07:25:00,6,checkout,0 days 00:00:00.000000000
17,2020-04-08 07:26:00,7,fruit,0 days 00:00:00.000000000
18,2020-04-08 07:26:00,7,spices,0 days 00:01:00.000000000
19,2020-04-08 07:26:00,7,drinks,0 days 00:01:00.000000000
20,2020-04-08 07:26:00,7,checkout,0 days 00:00:00.000000000
21,2020-04-08 07:26:00,8,dairy,0 days 00:02:00.000000000
22,2020-04-08 07:26:00,8,checkout,0 days 00:00:00.000000000
23,2020-04-08 07:28:00,9,dairy,0 days 00:01:00.000000000
24,2020-04-08 07:28:00,9,drinks,0 days 00:03:00.000000000
25,2020-04-08 07:28:00,9,fruit,0 days 00:03:00.000000000
26,2020-04-08 07:28:00,9,dairy,0 days 00:01:00.000000000
27,2020-04-08 07:28:00,9,drinks,0 days 00:01:00.000000000
28,2020-04-08 07:28:00,9,checkout,0 days 00:00:00.000000000
29,2020-04-08 07:30:00,10,dairy,0 days 00:03:00.000000000
30,2020-04-08 07:30:00,10,checkout,0 days 00:00:00.000000000
31,2020-04-08 07:32:00,11,dairy,0 days 00:03:00.000000000
32,2020-04-08 07:32:00,11,checkout,0 days 00:00:00.000000000
33,2020-04-08 07:33:00,12,fruit,0 days 00:00:00.000000000
34,2020-04-08 07:33:00,12,checkout,0 days 00:00:00.000000000
35,2020-04-08 07:35:00,13,spices,0 days 00:01:00.000000000
36,2020-04-08 07:35:00,13,drinks,0 days 00:08:00.000000000
37,2020-04-08 07:35:00,13,checkout,0 days 00:00:00.000000000
38,2020-04-08 07:36:00,14,spices,0 days 00:01:00.000000000
39,2020-04-08 07:36:00,14,drinks,0 days 00:01:00.000000000
40,2020-04-08 07:36:00,14,checkout,0 days 00:00:00.000000000
41,2020-04-08 07:38:00,15,fruit,0 days 00:00:00.000000000
42,2020-04-08 07:38:00,15,checkout,0 days 00:00:00.000000000
43,2020-04-08 07:41:00,16,spices,0 days 00:01:00.000000000
44,2020-04-08 07:41:00,16,fruit,0 days 00:01:00.000000000
45,2020-04-08 07:41:00,16,checkout,0 days 00:00:00.000000000
46,2020-04-08 07:42:00,17,dairy,0 days 00:03:00.000000000
47,2020-04-08 07:42:00,17,spices,0 days 00:01:00.000000000
48,2020-04-08 07:42:00,17,drinks,0 days 00:09:00.000000000
49,2020-04-08 07:42:00,17,checkout,0 days 00:00:00.000000000
50,2020-04-08 07:43:00,18,fruit,0 days 00:00:00.000000000
51,2020-04-08 07:43:00,18,checkout,0 days 00:00:00.000000000
52,2020-04-08 07:48:00,19,fruit,0 days 00:00:00.000000000
53,2020-04-08 07:48:00,19,checkout,0 days 00:00:00.000000000
54,2020-04-08 07:49:00,20,dairy,0 days 00:03:00.000000000
55,2020-04-08 07:49:00,20,drinks,0 days 00:01:00.000000000
56,2020-04-08 07:49:00,20,checkout,0 days 00:00:00.000000000
57,2020-04-08 07:49:00,21,drinks,0 days 00:02:00.000000000
58,2020-04-08 07:49:00,21,checkout,0 days 00:00:00.000000000
59,2020-04-08 07:53:00,22,drinks,0 days 00:07:00.000000000
60,2020-04-08 07:53:00,22,checkout,0 days 00:00:00.000000000
61,2020-04-08 07:53:00,23,drinks,0 days 00:09:00.000000000
62,2020-04-08 07:53:00,23,checkout,0 days 00:00:00.000000000
63,2020-04-08 07:57:00,24,drinks,0 days 00:07:00.000000000
64,2020-04-08 07:57:00,24,checkout,0 days 00:00:00.000000000
65,2020-04-08 08:01:00,25,dairy,0 days 00:01:00.000000000
66,2020-04-08 08:01:00,25,spices,0 days 00:02:00.000000000
67,2020-04-08 08:01:00,25,dairy,0 days 00:02:00.000000000
68,2020-04-08 08:01:00,25,drinks,0 days 00:02:00.000000000
69,2020-04-08 08:01:00,25,checkout,0 days 00:00:00.000000000
70,2020-04-08 08:02:00,26,drinks,0 days 00:04:00.000000000
71,2020-04-08 08:02:00,26,fruit,0 days 00:04:00.000000000
72,2020-04-08 08:02:00,26,checkout,0 days 00:00:00.000000000
73,2020-04-08 08:02:00,27,drinks,0 days 00:01:00.000000000
74,2020-04-08 08:02:00,27,checkout,0 days 00:00:00.000000000
75,2020-04-08 08:04:00,28,fruit,0 days 00:00:00.000000000
76,2020-04-08 08:04:00,28,drinks,0 days 00:01:00.000000000
77,2020-04-08 08:04:00,28,fruit,0 days 00:01:00.000000000
78,2020-04-08 08:04:00,28,checkout,0 days 00:00:00.000000000
79,2020-04-08 08:04:00,29,drinks,0 days 00:04:00.000000000
80,2020-04-08 08:04:00,29,checkout,0 days 00:00:00.000000000
81,2020-04-08 08:04:00,30,drinks,0 days 00:01:00.000000000
82,2020-04-08 08:04:00,30,spices,0 days 00:01:00.000000000
83,2020-04-08 08:04:00,30,dairy,0 days 00:01:00.000000000
84,2020-04-08 08:04:00,30,fruit,0 days 00:01:00.000000000
85,2020-04-08 08:04:00,30,dairy,0 days 00:02:00.000000000
86,2020-04-08 08:04:00,30,checkout,0 days 00:00:00.000000000
87,2020-04-08 08:07:00,31,drinks,0 days 00:01:00.000000000
88,2020-04-08 08:07:00,31,checkout,0 days 00:00:00.000000000
89,2020-04-08 08:10:00,32,fruit,0 days 00:00:00.000000000
90,2020-04-08 08:10:00,32,checkout,0 days 00:00:00.000000000
91,2020-04-08 08:14:00,33,fruit,0 days 00:00:00.000000000
92,2020-04-08 08:14:00,33,checkout,0 days 00:00:00.000000000
93,2020-04-08 08:16:00,34,fruit,0 days 00:00:00.000000000
94,2020-04-08 08:16:00,34,checkout,0 days 00:00:00.000000000
95,2020-04-08 08:17:00,35,drinks,0 days 00:02:00.000000000
96,2020-04-08 08:17:00,35,spices,0 days 00:02:00.000000000
97,2020-04-08 08:17:00,35,checkout,0 days 00:00:00.000000000
98,2020-04-08 08:17:00,36,dairy,0 days 00:01:00.000000000
99,2020-04-08 08:17:00,36,checkout,0 days 00:00:00.000000000
100,2020-04-08 08:19:00,37,drinks,0 days 00:02:00.000000000
101,2020-04-08 08:19:00,37,fruit,0 days 00:02:00.000000000
102,2020-04-08 08:19:00,37,checkout,0 days 00:00:00.000000000
103,2020-04-08 08:20:00,38,spices,0 days 00:01:00.000000000
104,2020-04-08 08:20:00,38,dairy,0 days 00:06:00.000000000
105,2020-04-08 08:20:00,38,checkout,0 days 00:00:00.000000000
106,2020-04-08 08:21:00,39,dairy,0 days 00:04:00.000000000
107,2020-04-08 08:21:00,39,checkout,0 days 00:00:00.000000000
108,2020-04-08 08:21:00,40,drinks,0 days 00:01:00.000000000
109,2020-04-08 08:21:00,40,checkout,0 days 00:00:00.000000000
110,2020-04-08 08:21:00,41,dairy,0 days 00:02:00.000000000
111,2020-04-08 08:21:00,41,checkout,0 days 00:00:00.000000000
112,2020-04-08 08:25:00,42,dairy,0 days 00:01:00.000000000
113,2020-04-08 08:25:00,42,fruit,0 days 00:01:00.000000000
114,2020-04-08 08:25:00,42,dairy,0 days 00:07:00.000000000
115,2020-04-08 08:25:00,42,checkout,0 days 00:00:00.000000000
116,2020-04-08 08:28:00,43,fruit,0 days 00:00:00.000000000
