hour,mean,stdev
07:00:00,2,2
07:01:00,1,1
07:02:00,1,1
07:03:00,2,2
07:04:00,2,2
07:05:00,0,0
07:06:00,2,2
07:07:00,2,1
07:08:00,1,1
07:09:00,1,1
07:10:00,1,2
07:11:00,1,1
07:12:00,4,3
07:13:00,2,1
07:14:00,3,2
07:15:00,2,1
07:16:00,1,2
07:17:00,2,2
07:18:00,1,1
07:19:00,3,2
07:20:00,3,2
07:21:00,0,1
07:22:00,3,1
07:23:00,1,1
07:24:00,1,0
07:25:00,2,1
07:26:00,3,3
07:27:00,3,2
07:28:00,2,2
07:29:00,1,2
07:30:00,2,2
07:31:00,2,1
07:32:00,2,2
07:33:00,2,1
07:34:00,1,2
07:35:00,2,2
07:36:00,2,1
07:37:00,1,1
07:38:00,2,3
07:39:00,1,1
07:40:00,1,1
07:41:00,2,2
07:42:00,2,2
07:43:00,2,2
07:44:00,2,2
07:45:00,1,1
07:46:00,1,1
07:47:00,2,2
07:48:00,2,1
07:49:00,3,2
07:50:00,2,3
07:51:00,1,1
07:52:00,1,2
07:53:00,3,2
07:54:00,0,0
07:55:00,1,1
07:56:00,2,2
07:57:00,2,2
07:58:00,0,0
07:59:00,0,1
08:00:00,2,2
08:01:00,2,1
08:02:00,3,2
08:03:00,2,1
08:04:00,4,3
08:05:00,2,2
08:06:00,2,2
08:07:00,2,2
08:08:00,2,2
08:09:00,1,2
08:10:00,3,1
08:11:00,2,1
08:12:00,0,1
08:13:00,2,1
08:14:00,3,2
08:15:00,1,2
08:16:00,3,2
08:17:00,4,3
08:18:00,2,1
08:19:00,2,1
08:20:00,2,2
08:21:00,5,3
08:22:00,3,3
08:23:00,1,1
08:24:00,3,2
08:25:00,2,2
08:26:00,3,2
08:27:00,3,3
08:28:00,3,2
08:29:00,2,1
08:30:00,1,2
08:31:00,1,1
08:32:00,2,1
08:33:00,2,1
08:34:00,3,2
08:35:00,2,3
08:36:00,2,2
08:37:00,1,1
08:38:00,2,2
08:39:00,2,1
08:40:00,3,2
08:41:00,3,2
08:42:00,2,2
08:43:00,3,3
08:44:00,2,2
08:45:00,2,2
08:46:00,1,1
08:47:00,2,2
08:48:00,4,2
08:49:00,2,3
08:50:00,2,2
08:51:00,2,2
08:52:00,2,1
08:53:00,4,2
08:54:00,2,2
08:55:00,5,1
08:56:00,2,2
08:57:00,1,1
08:58:00,2,2
08:59:00,2,2
09:00:00,2,1
09:01:00,1,1
09:02:00,1,2
09:03:00,3,3
09:04:00,2,2
09:05:00,3,1
09:06:00,2,2
09:07:00,1,0
09:08:00,3,1
09:09:00,1,1
09:10:00,2,2
09:11:00,2,2
09:12:00,2,2
09:13:00,1,1
09:14:00,1,1
09:15:00,2,1
09:16:00,1,1
09:17:00,2,2
09:18:00,3,2
09:19:00,3,2
09:20:00,0,1
09:21:00,2,2
09:22:00,2,2
09:23:00,1,1
09:24:00,0,1
09:25:00,2,1
09:26:00,2,2
09:27:00,1,2
09:28:00,1,2
09:29:00,1,2
09:30:00,2,2
09:31:00,1,1
09:32:00,1,1
09:33:00,0,1
09:34:00,1,2
09:35:00,1,1
09:36:00,2,2
09:37:00,3,2
09:38:00,1,2
09:39:00,2,2
09:40:00,2,1
09:41:00,2,2
09:42:00,1,2
09:43:00,1,1
09:44:00,0,0
09:45:00,1,1
09:46:00,2,2
09:47:00,1,1
09:48:00,3,2
09:49:00,1,1
09:50:00,0,0
09:51:00,1,1
09:52:00,1,1
09:53:00,1,1
09:54:00,1,2
09:55:00,2,1
