,date,time,customer_no,location
0,2020-04-09,07:00:00,2,fruit
1,2020-04-09,07:02:00,3,fruit
2,2020-04-09,07:03:00,5,fruit
3,2020-04-09,07:04:00,2,dairy
4,2020-04-09,07:04:00,5,drinks
5,2020-04-09,07:04:00,5,checkout
6,2020-04-09,07:04:00,6,spices
7,2020-04-09,07:04:00,8,drinks
8,2020-04-09,07:04:00,10,fruit
9,2020-04-09,07:05:00,2,checkout
10,2020-04-09,07:05:00,7,fruit
11,2020-04-09,07:06:00,3,checkout
12,2020-04-09,07:06:00,4,fruit
13,2020-04-09,07:06:00,6,checkout
14,2020-04-09,07:06:00,8,checkout
15,2020-04-09,07:06:00,9,dairy
16,2020-04-09,07:06:00,9,checkout
17,2020-04-09,07:07:00,10,dairy
18,2020-04-09,07:07:00,11,drinks
19,2020-04-09,07:07:00,16,dairy
20,2020-04-09,07:08:00,4,dairy
21,2020-04-09,07:08:00,7,checkout
22,2020-04-09,07:08:00,11,spices
23,2020-04-09,07:08:00,12,fruit
24,2020-04-09,07:08:00,13,dairy
25,2020-04-09,07:08:00,16,fruit
26,2020-04-09,07:08:00,18,drinks
27,2020-04-09,07:09:00,1,dairy
28,2020-04-09,07:09:00,10,checkout
29,2020-04-09,07:09:00,14,drinks
30,2020-04-09,07:09:00,19,spices
31,2020-04-09,07:10:00,1,drinks
32,2020-04-09,07:10:00,4,fruit
33,2020-04-09,07:10:00,13,checkout
34,2020-04-09,07:10:00,15,fruit
35,2020-04-09,07:10:00,19,drinks
36,2020-04-09,07:10:00,20,dairy
37,2020-04-09,07:10:00,21,drinks
38,2020-04-09,07:11:00,12,checkout
39,2020-04-09,07:11:00,18,checkout
40,2020-04-09,07:11:00,19,fruit
41,2020-04-09,07:11:00,24,drinks
42,2020-04-09,07:12:00,1,spices
43,2020-04-09,07:12:00,1,checkout
44,2020-04-09,07:12:00,4,dairy
45,2020-04-09,07:12:00,11,checkout
46,2020-04-09,07:12:00,24,spices
47,2020-04-09,07:13:00,14,checkout
48,2020-04-09,07:13:00,17,drinks
49,2020-04-09,07:13:00,20,checkout
50,2020-04-09,07:13:00,22,dairy
51,2020-04-09,07:13:00,24,drinks
52,2020-04-09,07:13:00,25,fruit
53,2020-04-09,07:13:00,25,checkout
54,2020-04-09,07:13:00,29,dairy
55,2020-04-09,07:13:00,31,fruit
56,2020-04-09,07:14:00,4,drinks
57,2020-04-09,07:14:00,15,checkout
58,2020-04-09,07:14:00,17,spices
59,2020-04-09,07:14:00,21,checkout
60,2020-04-09,07:14:00,22,checkout
61,2020-04-09,07:14:00,24,spices
62,2020-04-09,07:14:00,26,dairy
63,2020-04-09,07:14:00,27,dairy
64,2020-04-09,07:14:00,28,dairy
65,2020-04-09,07:14:00,30,fruit
66,2020-04-09,07:14:00,34,fruit
67,2020-04-09,07:15:00,17,drinks
68,2020-04-09,07:15:00,19,drinks
69,2020-04-09,07:15:00,23,dairy
70,2020-04-09,07:15:00,26,spices
71,2020-04-09,07:15:00,28,drinks
72,2020-04-09,07:15:00,29,spices
73,2020-04-09,07:15:00,32,spices
74,2020-04-09,07:15:00,33,spices
75,2020-04-09,07:15:00,33,checkout
76,2020-04-09,07:16:00,4,spices
77,2020-04-09,07:16:00,17,fruit
78,2020-04-09,07:16:00,24,checkout
79,2020-04-09,07:16:00,26,dairy
80,2020-04-09,07:16:00,27,fruit
81,2020-04-09,07:16:00,28,spices
82,2020-04-09,07:16:00,30,drinks
83,2020-04-09,07:16:00,32,checkout
84,2020-04-09,07:16:00,34,drinks
85,2020-04-09,07:16:00,37,spices
86,2020-04-09,07:17:00,17,checkout
87,2020-04-09,07:17:00,23,spices
88,2020-04-09,07:17:00,29,checkout
89,2020-04-09,07:17:00,35,fruit
90,2020-04-09,07:17:00,37,drinks
91,2020-04-09,07:17:00,39,drinks
92,2020-04-09,07:18:00,19,checkout
93,2020-04-09,07:18:00,30,fruit
94,2020-04-09,07:18:00,38,dairy
95,2020-04-09,07:18:00,39,fruit
96,2020-04-09,07:18:00,42,dairy
97,2020-04-09,07:19:00,23,dairy
98,2020-04-09,07:19:00,27,dairy
99,2020-04-09,07:19:00,34,checkout
100,2020-04-09,07:19:00,35,spices
101,2020-04-09,07:19:00,36,dairy
102,2020-04-09,07:19:00,37,checkout
103,2020-04-09,07:19:00,40,fruit
104,2020-04-09,07:19:00,42,spices
105,2020-04-09,07:19:00,43,fruit
106,2020-04-09,07:20:00,4,drinks
107,2020-04-09,07:20:00,26,checkout
108,2020-04-09,07:20:00,30,drinks
109,2020-04-09,07:20:00,30,checkout
110,2020-04-09,07:20:00,31,drinks
111,2020-04-09,07:20:00,39,checkout
112,2020-04-09,07:20:00,42,drinks
113,2020-04-09,07:20:00,45,dairy
114,2020-04-09,07:20:00,46,fruit
115,2020-04-09,07:20:00,50,fruit
116,2020-04-09,07:21:00,4,checkout
117,2020-04-09,07:21:00,38,drinks
118,2020-04-09,07:21:00,41,fruit
119,2020-04-09,07:21:00,42,fruit
120,2020-04-09,07:21:00,43,drinks
121,2020-04-09,07:21:00,43,checkout
122,2020-04-09,07:21:00,45,checkout
123,2020-04-09,07:21:00,46,spices
124,2020-04-09,07:21:00,47,fruit
125,2020-04-09,07:21:00,48,fruit
126,2020-04-09,07:21:00,49,spices
127,2020-04-09,07:21:00,49,checkout
128,2020-04-09,07:21:00,51,drinks
129,2020-04-09,07:22:00,23,checkout
130,2020-04-09,07:22:00,41,spices
131,2020-04-09,07:22:00,42,checkout
132,2020-04-09,07:22:00,44,spices
133,2020-04-09,07:22:00,53,fruit
134,2020-04-09,07:22:00,53,checkout
135,2020-04-09,07:23:00,27,checkout
136,2020-04-09,07:23:00,31,spices
137,2020-04-09,07:23:00,35,checkout
138,2020-04-09,07:23:00,46,checkout
139,2020-04-09,07:23:00,48,checkout
140,2020-04-09,07:23:00,52,fruit
141,2020-04-09,07:23:00,56,dairy
142,2020-04-09,07:24:00,36,fruit
143,2020-04-09,07:24:00,40,drinks
144,2020-04-09,07:24:00,51,checkout
145,2020-04-09,07:25:00,28,dairy
146,2020-04-09,07:25:00,47,drinks
147,2020-04-09,07:25:00,52,spices
148,2020-04-09,07:25:00,55,drinks
149,2020-04-09,07:25:00,56,drinks
150,2020-04-09,07:25:00,57,spices
151,2020-04-09,07:25:00,58,fruit
152,2020-04-09,07:25:00,59,fruit
153,2020-04-09,07:26:00,52,drinks
154,2020-04-09,07:26:00,58,spices
155,2020-04-09,07:26:00,60,spices
156,2020-04-09,07:27:00,28,spices
157,2020-04-09,07:27:00,41,dairy
158,2020-04-09,07:27:00,44,dairy
159,2020-04-09,07:27:00,44,checkout
160,2020-04-09,07:27:00,47,checkout
161,2020-04-09,07:27:00,52,fruit
162,2020-04-09,07:27:00,55,spices
163,2020-04-09,07:27:00,56,spices
164,2020-04-09,07:27:00,60,fruit
165,2020-04-09,07:27:00,61,spices
166,2020-04-09,07:27:00,63,spices
167,2020-04-09,07:27:00,65,fruit
168,2020-04-09,07:27:00,66,fruit
169,2020-04-09,07:28:00,40,checkout
170,2020-04-09,07:28:00,54,drinks
171,2020-04-09,07:28:00,55,checkout
172,2020-04-09,07:28:00,59,spices
173,2020-04-09,07:28:00,60,drinks
174,2020-04-09,07:28:00,63,drinks
175,2020-04-09,07:28:00,64,fruit
176,2020-04-09,07:28:00,65,dairy
177,2020-04-09,07:28:00,69,spices
178,2020-04-09,07:29:00,41,checkout
179,2020-04-09,07:29:00,50,dairy
180,2020-04-09,07:29:00,52,checkout
181,2020-04-09,07:29:00,56,fruit
182,2020-04-09,07:29:00,57,dairy
183,2020-04-09,07:29:00,60,fruit
184,2020-04-09,07:29:00,61,drinks
185,2020-04-09,07:29:00,62,drinks
186,2020-04-09,07:30:00,28,dairy
187,2020-04-09,07:30:00,36,dairy
188,2020-04-09,07:30:00,38,dairy
189,2020-04-09,07:30:00,54,checkout
190,2020-04-09,07:30:00,56,drinks
191,2020-04-09,07:30:00,63,checkout
192,2020-04-09,07:30:00,65,drinks
193,2020-04-09,07:30:00,71,fruit
194,2020-04-09,07:30:00,73,drinks
195,2020-04-09,07:31:00,28,spices
196,2020-04-09,07:31:00,60,drinks
197,2020-04-09,07:31:00,62,checkout
198,2020-04-09,07:31:00,67,fruit
199,2020-04-09,07:31:00,72,dairy
200,2020-04-09,07:31:00,73,spices
201,2020-04-09,07:31:00,76,spices
202,2020-04-09,07:32:00,28,drinks
203,2020-04-09,07:32:00,28,checkout
204,2020-04-09,07:32:00,59,checkout
205,2020-04-09,07:32:00,65,fruit
206,2020-04-09,07:32:00,66,dairy
207,2020-04-09,07:32:00,69,checkout
208,2020-04-09,07:32:00,70,fruit
209,2020-04-09,07:32:00,73,fruit
210,2020-04-09,07:33:00,38,checkout
211,2020-04-09,07:33:00,56,checkout
212,2020-04-09,07:33:00,57,fruit
213,2020-04-09,07:33:00,60,spices
214,2020-04-09,07:33:00,61,checkout
215,2020-04-09,07:33:00,65,dairy
216,2020-04-09,07:33:00,66,drinks
217,2020-04-09,07:33:00,72,checkout
218,2020-04-09,07:33:00,74,dairy
219,2020-04-09,07:33:00,78,fruit
220,2020-04-09,07:33:00,78,checkout
221,2020-04-09,07:33:00,80,dairy
222,2020-04-09,07:33:00,80,checkout
223,2020-04-09,07:34:00,57,spices
224,2020-04-09,07:34:00,58,dairy
225,2020-04-09,07:34:00,65,drinks
226,2020-04-09,07:34:00,65,checkout
227,2020-04-09,07:34:00,66,fruit
228,2020-04-09,07:34:00,70,checkout
229,2020-04-09,07:34:00,76,checkout
230,2020-04-09,07:34:00,79,dairy
231,2020-04-09,07:34:00,81,dairy
232,2020-04-09,07:34:00,82,drinks
233,2020-04-09,07:35:00,57,drinks
234,2020-04-09,07:35:00,60,fruit
235,2020-04-09,07:35:00,71,dairy
236,2020-04-09,07:35:00,73,checkout
237,2020-04-09,07:35:00,82,spices
238,2020-04-09,07:36:00,16,dairy
239,2020-04-09,07:36:00,36,fruit
240,2020-04-09,07:36:00,64,dairy
241,2020-04-09,07:36:00,66,spices
242,2020-04-09,07:36:00,67,dairy
