,date,time,customer_no,location
0,2020-04-09,07:04:00,3,fruit
1,2020-04-09,07:05:00,1,dairy
2,2020-04-09,07:07:00,2,dairy
3,2020-04-09,07:07:00,4,spices
4,2020-04-09,07:08:00,5,dairy
5,2020-04-09,07:09:00,1,checkout
6,2020-04-09,07:09:00,5,fruit
7,2020-04-09,07:10:00,2,spices
8,2020-04-09,07:11:00,2,dairy
9,2020-04-09,07:11:00,2,checkout
10,2020-04-09,07:11:00,4,checkout
11,2020-04-09,07:11:00,5,checkout
12,2020-04-09,07:13:00,3,dairy
13,2020-04-09,07:13:00,6,drinks
14,2020-04-09,07:14:00,9,fruit
15,2020-04-09,07:14:00,9,checkout
16,2020-04-09,07:15:00,8,dairy
17,2020-04-09,07:15:00,8,checkout
18,2020-04-09,07:15:00,10,dairy
19,2020-04-09,07:15:00,10,checkout
20,2020-04-09,07:15:00,11,fruit
21,2020-04-09,07:17:00,6,checkout
22,2020-04-09,07:18:00,7,drinks
23,2020-04-09,07:18:00,7,checkout
24,2020-04-09,07:18:00,11,checkout
25,2020-04-09,07:18:00,12,dairy
26,2020-04-09,07:19:00,14,fruit
27,2020-04-09,07:19:00,14,checkout
28,2020-04-09,07:20:00,12,checkout
29,2020-04-09,07:20:00,15,fruit
30,2020-04-09,07:21:00,13,fruit
31,2020-04-09,07:21:00,13,checkout
32,2020-04-09,07:22:00,3,fruit
33,2020-04-09,07:23:00,15,checkout
34,2020-04-09,07:23:00,16,fruit
35,2020-04-09,07:23:00,17,fruit
36,2020-04-09,07:24:00,3,checkout
37,2020-04-09,07:24:00,16,checkout
38,2020-04-09,07:25:00,17,checkout
39,2020-04-09,07:26:00,19,fruit
40,2020-04-09,07:27:00,18,dairy
41,2020-04-09,07:27:00,19,checkout
42,2020-04-09,07:27:00,20,fruit
43,2020-04-09,07:27:00,21,spices
44,2020-04-09,07:27:00,21,checkout
45,2020-04-09,07:28:00,18,checkout
46,2020-04-09,07:28:00,20,fruit
47,2020-04-09,07:28:00,20,checkout
48,2020-04-09,07:28:00,22,spices
49,2020-04-09,07:29:00,22,drinks
50,2020-04-09,07:30:00,23,dairy
51,2020-04-09,07:30:00,24,fruit
52,2020-04-09,07:32:00,23,checkout
53,2020-04-09,07:32:00,24,checkout
54,2020-04-09,07:32:00,25,drinks
55,2020-04-09,07:33:00,22,checkout
56,2020-04-09,07:34:00,26,drinks
57,2020-04-09,07:34:00,28,dairy
58,2020-04-09,07:35:00,25,checkout
59,2020-04-09,07:35:00,26,checkout
60,2020-04-09,07:36:00,27,dairy
61,2020-04-09,07:38:00,27,checkout
62,2020-04-09,07:38:00,28,checkout
63,2020-04-09,07:39:00,29,fruit
64,2020-04-09,07:39:00,30,fruit
65,2020-04-09,07:39:00,31,dairy
66,2020-04-09,07:39:00,31,checkout
67,2020-04-09,07:40:00,30,checkout
68,2020-04-09,07:41:00,32,fruit
69,2020-04-09,07:42:00,29,checkout
70,2020-04-09,07:43:00,32,dairy
71,2020-04-09,07:43:00,33,dairy
72,2020-04-09,07:45:00,32,fruit
73,2020-04-09,07:45:00,34,dairy
74,2020-04-09,07:46:00,32,checkout
75,2020-04-09,07:46:00,33,checkout
76,2020-04-09,07:46:00,35,fruit
77,2020-04-09,07:47:00,34,fruit
78,2020-04-09,07:47:00,35,checkout
79,2020-04-09,07:48:00,36,fruit
80,2020-04-09,07:48:00,36,checkout
81,2020-04-09,07:49:00,34,checkout
82,2020-04-09,07:49:00,39,fruit
83,2020-04-09,07:50:00,37,dairy
84,2020-04-09,07:52:00,37,fruit
85,2020-04-09,07:52:00,39,checkout
86,2020-04-09,07:53:00,37,dairy
87,2020-04-09,07:53:00,38,fruit
88,2020-04-09,07:53:00,38,checkout
89,2020-04-09,07:53:00,40,dairy
90,2020-04-09,07:55:00,40,drinks
91,2020-04-09,07:55:00,40,checkout
92,2020-04-09,07:57:00,37,checkout
93,2020-04-09,07:58:00,41,drinks
94,2020-04-09,07:59:00,44,fruit
95,2020-04-09,08:00:00,42,spices
96,2020-04-09,08:01:00,42,checkout
97,2020-04-09,08:01:00,45,spices
98,2020-04-09,08:02:00,41,checkout
99,2020-04-09,08:02:00,44,checkout
100,2020-04-09,08:03:00,43,dairy
101,2020-04-09,08:03:00,47,spices
102,2020-04-09,08:04:00,49,dairy
103,2020-04-09,08:05:00,43,checkout
104,2020-04-09,08:05:00,45,checkout
105,2020-04-09,08:05:00,46,dairy
