userId,2001: A Space Odyssey,Ace Ventura: Pet Detective,Austin Powers: The Spy Who Shagged Me,"Big Lebowski, The",Dumb & Dumber,E.T. the Extra-Terrestrial,Four Weddings and a Funeral,Star Wars: Episode I - The Phantom Menace,Titanic
68,1.5,2.5,3.5,0.5,3.5,1.5,1.0,3.0,3.0
608,3.0,3.5,3.0,4.0,3.0,2.5,3.0,4.0,2.0
414,5.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0
307,3.5,4.0,3.5,4.0,2.5,3.0,3.0,4.0,2.0
599,5.0,2.5,3.5,5.0,3.5,4.0,2.5,3.0,3.0
600,4.0,3.0,2.5,3.5,3.5,2.0,1.0,1.0,3.0
45,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0
330,1.5,0.5,3.5,5.0,4.0,4.0,,3.0,3.5
590,5.0,3.0,2.5,4.0,2.0,4.5,,2.5,3.5
474,4.0,1.0,3.0,3.5,,4.0,3.0,4.0,4.0
480,,3.5,4.5,3.5,3.0,5.0,3.0,2.0,4.0
19,3.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,
483,,4.0,3.5,5.0,3.0,3.0,3.5,3.0,2.0
489,4.0,1.5,1.5,,2.5,4.0,4.5,1.0,3.5
380,4.0,5.0,3.0,5.0,4.0,4.0,,4.0,2.0
